Car Details
"CaracterísticasVOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUTCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUTMarcaVOLKSWAGENTipo de veículoSUVAno2021Quilometragem16000CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasFinal de placa3Ver OpcionaisOpcionaisAlarmeAr condicionado"
"CaracterísticasJEEP RENEGADE LONG. T270 1.3 TB 4X2 FLEX AUT.CategoriaCarros, vans e utilitáriosModeloJEEP RENEGADE LONG. T270 1.3 TB 4X2 FLEX AUT.MarcaJEEPTipo de veículoSUVAno2024Quilometragem0Potência do motor1.3CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorAzulPortas4 portasTipo de direçãoElétrica"
"CaracterísticasCHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.CategoriaCarros, vans e utilitáriosModeloCHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.MarcaCHEVROLETTipo de veículoPasseioAno2020Quilometragem56088CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasFinal de placa6Ver OpcionaisOpcionaisAlarmeAir bagAir bagAr condicionadoTrava elétricaVidro elétrico"
"CaracterísticasFIAT MOBI LIKE 1.0 FIRE FLEX 5P.CategoriaCarros, vans e utilitáriosModeloFIAT MOBI LIKE 1.0 FIRE FLEX 5P.MarcaFIATTipo de veículoPasseioAno2022Quilometragem10165CombustívelFlexPossui Kit GNVNãoCâmbioManualPortas4 portas"
"CaracterísticasTOYOTA HILUX SW4 4X4 2.8 DIESELCategoriaCarros, vans e utilitáriosModeloTOYOTA HILUX SW4 4X4 2.8 DIESELMarcaTOYOTATipo de veículoSUVAno2019Quilometragem62615CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasFinal de placa6Ver OpcionaisOpcionaisAlarme"
"CaracterísticasFIAT MOBI TREKKING 1.0 FLEX 5PCategoriaCarros, vans e utilitáriosModeloFIAT MOBI TREKKING 1.0 FLEX 5PMarcaFIATTipo de veículoHatchAno2022Quilometragem31297CombustívelFlexPossui Kit GNVNãoCâmbioManualPortas4 portasFinal de placa9Ver OpcionaisOpcionaisAr condicionadoAr condicionado"
"CaracterísticasJEEP RENEGADE LONGITUDE 2.0 4X4 TB DIESEL AUTCategoriaCarros, vans e utilitáriosModeloJEEP RENEGADE LONGITUDE 2.0 4X4 TB DIESEL AUTMarcaJEEPTipo de veículoSUVAno2018Quilometragem63905Potência do motor2.0 - 2.9CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa7Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico"
"CaracterísticasTOYOTA 1.8 GLI UPPER 16V FLEX 4P AUTOMATICOCategoriaCarros, vans e utilitáriosModeloTOYOTA 1.8 GLI UPPER 16V FLEX 4P AUTOMATICOMarcaTOYOTATipo de veículoPasseioAno2019Quilometragem59048CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasFinal de placa7Ver OpcionaisOpcionaisAir bagAir bagAr condicionadoTrava elétricaVidro elétrico"
"CaracterísticasFIAT MOBI LIKE 1.0 FIRE FLEX 5P.CategoriaCarros, vans e utilitáriosModeloFIAT MOBI LIKE 1.0 FIRE FLEX 5P.MarcaFIATTipo de veículoPasseioAno2023Quilometragem0CombustívelFlexPossui Kit GNVNãoCâmbioManualPortas4 portasFinal de placa1"
"CaracterísticasFIAT CRONOS 1.3 8V FLEXCategoriaCarros, vans e utilitáriosModeloFIAT CRONOS 1.3 8V FLEXMarcaFIATTipo de veículoSedãAno2022Quilometragem52900Potência do motor1.3CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa4Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico"
