car_name,car_price
"
													Abarth

													 new 500e", 36.900
"
													Abarth

													 new 500 cabrio ", 43.450
"
													Abarth

													 695", 30.050
"
													Alfa Romeo

													 tonale",A partir de  36.990
"
													Alfa Romeo

													 stelvio",A partir de  50.150
"
													Alfa Romeo

													 giulia",A partir de  46.350
A110,62 500 €
A110 GT,72 500 €
A110 S,74 500 €
A110 R,110 000 €
Q4,"à partir de 53 000,00 EUR"
Q8,"à partir de 88 600,00 EUR"
e-tron,
e-tron GT quattro,"à partir de 107 420,00 EUR"
A1,"à partir de 26 190,00 EUR"
A3,"à partir de 35 170,00 EUR"
A4,"à partir de 41 280,00 EUR"
A5,"à partir de 48 690,00 EUR"
A6,"à partir de 58 040,00 EUR"
A7,"à partir de 75 160,00 EUR"
A8,"à partir de 113 060,00 EUR"
Q2,"à partir de 32 080,00 EUR"
Q3,"à partir de 40 070,00 EUR"
Q5,"à partir de 55 020,00 EUR"
Q7,
Q8,"à partir de 135 000,00 EUR"
TT,
R8,
 BMW M135i xDrive , à partir de 56 500 € 
 BMW X1 M35i xDrive , à partir de 62 000 € 
 BMW X2 M35i xDrive , à partir de 64 000 € 
 BMW X3 M Competition , à partir de 116 900 € 
 BMW X4 M Competition , à partir de 119 200 € 
 BMW iX M60 , à partir de 143 050 € 
 BMW X5 M Competition , à partir de 159 300 € 
 BMW X6 M Competition , à partir de 163 300 € 
 BMW X7 M60i xDrive , à partir de 139 000 € 
 BMW XM , à partir de 178 000 € 
 BMW M3 Competition Berline , à partir de 109 950 € 
 BMW M3 Competition M xDrive Touring , à partir de 116 650 € 
 BMW i7 M70 xDrive ,   
 BMW M760e xDrive , à partir de 158 200€ 
 BMW i5 M60 xDrive , à partir de 107 500 € 
 BMW M2 Coupé , à partir de 81 100 € 
 BMW M235i xDrive Gran Coupé , à partir de 59 800 € 
 BMW M4 Competition Coupé , à partir de 112 500 € 
 BMW M440i xDrive Gran Coupé , à partir de 74 150 € 
 BMW M8 Competition Coupé , à partir de 182 100 € 
 BMW M8 Competition Gran Coupé , à partir de 179 100 € 
 BMW i4 M50 , à partir de 77 200 € 
 BMW M4 Competition Cabriolet , à partir de 123 700 € 
 BMW M8 Competition Cabriolet , à partir de 190 100 € 
 BMW Z4 M40i , à partir de 70 300 € 
PACIFICA,"$38,020"
PACIFICA PLUG-IN HYBRID,"$51,095"
CHRYSLER 300,"$36,145"
 C3 Berline ,16 590 €
 C4 Berline 5 portes ,21 140 €
 C3 Aircross SUV ,21 360 €
 C4 X BERLINE 4 PORTES ,25 180 €
 C5 Aircross SUV ,26 110 €
 CITROËN C5 X CROSS BERLINE ,32 310 €
 Berlingo Taille M ,35 290 €
 Berlingo Taille XL ,40 450 €
 SpaceTourer Business ,43 550 €
 Jumpy Combi Taille M ,54 280 €
 SpaceTourer Business ,64 210 €
 SpaceTourer Business ,66 580 €
CUPRA Formentor,"39 529,99€"
CUPRA Formentor,"39 835,01€"
CUPRA Formentor,"39 945,01€"
CUPRA Formentor,"40 035,00€"
CUPRA Formentor,"40 905,00€"
CUPRA Formentor,"41 250,00€"
CUPRA Formentor,"41 255,00€"
CUPRA Formentor,"41 360,00€"
CUPRA Leon,"41 465,00€"
CUPRA Leon,"41 490,00€"
CUPRA Formentor,"41 555,00€"
CUPRA Formentor,"41 785,01€"
CUPRA Formentor,"42 085,00€"
CUPRA Formentor,"42 094,99€"
CUPRA Leon,"42 140,00€"
CUPRA Formentor,"42 154,99€"
CUPRA Formentor,"42 360,01€"
CUPRA Leon,"42 410,00€"
CUPRA Leon,"42 475,01€"
CUPRA Formentor,"42 495,00€"
