Titre,prix
 BMW M135i xDrive , à partir de 56 500 € 
 BMW X1 M35i xDrive , à partir de 62 000 € 
 BMW X2 M35i xDrive , à partir de 64 000 € 
 BMW X3 M Competition , à partir de 116 900 € 
 BMW X4 M Competition , à partir de 119 200 € 
 BMW iX M60 , à partir de 143 050 € 
 BMW X5 M Competition , à partir de 159 300 € 
 BMW X6 M Competition , à partir de 163 300 € 
 BMW X7 M60i xDrive , à partir de 139 000 € 
 BMW XM , à partir de 178 000 € 
 BMW M3 Competition Berline , à partir de 109 950 € 
 BMW M3 Competition M xDrive Touring , à partir de 116 650 € 
 BMW i7 M70 xDrive ,   
 BMW M760e xDrive , à partir de 158 200€ 
 BMW i5 M60 xDrive , à partir de 107 500 € 
 BMW M2 Coupé , à partir de 81 100 € 
 BMW M235i xDrive Gran Coupé , à partir de 59 800 € 
 BMW M4 Competition Coupé , à partir de 112 500 € 
 BMW M440i xDrive Gran Coupé , à partir de 74 150 € 
 BMW M8 Competition Coupé , à partir de 182 100 € 
 BMW M8 Competition Gran Coupé , à partir de 179 100 € 
 BMW i4 M50 , à partir de 77 200 € 
 BMW M4 Competition Cabriolet , à partir de 123 700 € 
 BMW M8 Competition Cabriolet , à partir de 190 100 € 
 BMW Z4 M40i , à partir de 70 300 € 
