Car Details,Car Price,Car Name
"CaracterísticasJEEP COMMANDER OVERL. TD380 2.0 4X4 DIE. AUTCategoriaCarros, vans e utilitáriosModeloJEEP COMMANDER OVERL. TD380 2.0 4X4 DIE. AUTMarcaJEEPTipo de veículoSUVAno2022Quilometragem8000CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoCorPretoFinal de placa3Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$230.000,
"CaracterísticasHONDA CIVIC SEDAN TOURING 1.5 TURBO 16V AUT.4PCategoriaCarros, vans e utilitáriosModeloHONDA CIVIC SEDAN TOURING 1.5 TURBO 16V AUT.4PMarcaHONDATipo de veículoSedãAno2019Quilometragem88000Potência do motor1.5CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa8Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$130.900,
"CaracterísticasFORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5PCategoriaCarros, vans e utilitáriosModeloFORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5PMarcaFORDTipo de veículoHatchAno2011Quilometragem130000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa2Tipo de direçãoMecânicaVer OpcionaisOpcionaisAlarmeTrava elétrica",R$16.500,
"CaracterísticasHONDA CR-V EXL 2.0 16V 4WD/2.0 FLEXONE AUT.CategoriaCarros, vans e utilitáriosModeloHONDA CR-V EXL 2.0 16V 4WD/2.0 FLEXONE AUT.MarcaHONDATipo de veículoSUVAno2016Quilometragem80000Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa4Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$122.000,
"CaracterísticasFORD FUSION SEL 2.3 16V  162CV AUT.CategoriaCarros, vans e utilitáriosModeloFORD FUSION SEL 2.3 16V  162CV AUT.MarcaFORDTipo de veículoSedãAno2008Quilometragem20000Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa6Tipo de direçãoHidráulica",R$14.000,
"CaracterísticasHONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.CategoriaCarros, vans e utilitáriosModeloHONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.MarcaHONDATipo de veículoSUVAno2016Quilometragem112Potência do motor1.8CâmbioAutomáticoPortas4 portasPossui Kit GNVNãoTipo de direçãoElétrica",R$28.000,
"CaracterísticasFIAT LINEA ESSENCE DUALOGIC 1.8 FLEX 16V 4PCategoriaCarros, vans e utilitáriosModeloFIAT LINEA ESSENCE DUALOGIC 1.8 FLEX 16V 4PMarcaFIATTipo de veículoSedãAno2012Quilometragem300000Potência do motor1.8CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa0Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$18.700,
"CaracterísticasFORD FOCUS TITANIUM 2.0 16V FLEX 5P MEC.CategoriaCarros, vans e utilitáriosModeloFORD FOCUS TITANIUM 2.0 16V FLEX 5P MEC.MarcaFORDTipo de veículoHatchAno2013Quilometragem120000Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa9Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$25.000,
"CaracterísticasCHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4PCategoriaCarros, vans e utilitáriosModeloCHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4PMarcaCHEVROLETTipo de veículoSedãAno2007Quilometragem200000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoPortas4 portasTipo de direçãoMecânicaVer OpcionaisOpcionaisAr condicionadoSomTrava elétrica",R$11.500,
"CaracterísticasTOYOTA COROLLA XEI 2.0 FLEX 16V AUT.CategoriaCarros, vans e utilitáriosModeloTOYOTA COROLLA XEI 2.0 FLEX 16V AUT.MarcaTOYOTAAno2023Quilometragem7000CâmbioAutomáticoPossui Kit GNVNão",Prix non trouvé,
"CaracterísticasHONDA CIVIC SEDAN LX 1.6 16V AUT. 4PCategoriaCarros, vans e utilitáriosModeloHONDA CIVIC SEDAN LX 1.6 16V AUT. 4PMarcaHONDATipo de veículoSedãAno2020Quilometragem77445Potência do motor1.6CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasTipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$110.000,
"CaracterísticasKIA MOTORS PICANTO EX 1.1/1.0/ 1.0 FLEX MEC.CategoriaCarros, vans e utilitáriosModeloKIA MOTORS PICANTO EX 1.1/1.0/ 1.0 FLEX MEC.MarcaKIA MOTORSTipo de veículoHatchAno2011Quilometragem109000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa2Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$23.900,
"CaracterísticasFIAT UNO MILLE WAY ECONOMY 1.0 F.FLEX 4PCategoriaCarros, vans e utilitáriosModeloFIAT UNO MILLE WAY ECONOMY 1.0 F.FLEX 4PMarcaFIATTipo de veículoHatchAno2012Quilometragem280356Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCorAzulFinal de placa5Tipo de direçãoMecânica",R$8.500,
"CaracterísticasVOLKSWAGEN FOX 1.0 MI TOTAL FLEX 8V 5PCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN FOX 1.0 MI TOTAL FLEX 8V 5PMarcaVOLKSWAGENTipo de veículoHatchAno2006Quilometragem179000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa9Tipo de direçãoMecânicaVer OpcionaisOpcionaisAlarmeAr condicionadoTrava elétricaVidro elétrico",R$16.000,
"CaracterísticasFORD RANGER XLS 2.2 4X4 CD DIESEL AUT.CategoriaCarros, vans e utilitáriosModeloFORD RANGER XLS 2.2 4X4 CD DIESEL AUT.MarcaFORDTipo de veículoPick-upAno2017Quilometragem181000CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa8Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$121.900,
