Champ1,Champ2,Titre,fcaboxwrapper,audimodelfinder_snapelement,prix,ncisearchproduct_model,étiquette5,rbold,image,customcheckbox,champ,modelfinder_item,prix3,Lien_du_titre,information,prix1,motclé,prix2,prix4,étiquette,promotionaltext,amount,scjjtsdx,description,description5,Titre1,Lien_du_titre1,image1,information1,prix5,pri1,motclé1,pri2,pri3,pri4,étiquette1,promotionaltext1,amount1,scjjtsdx1,description1,descriptio1,Titre2,Lien_du_titre2,image2,information2,prix6,pri5,motclé2,pri6,pri7,pri8,étiquette2,promotionaltext2,amount2,scccvcax,description2,descriptio2,Modèle,Prix1,Prix,col121,count,bt3,somme_colonnes_numeriques
"
													Abarth

													 new 500e", 36.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"
													Abarth

													 new 500 cabrio ", 43.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"
													Abarth

													 695", 30.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,"
													Alfa Romeo

													 tonale",A partir de  36.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,"
													Alfa Romeo

													 stelvio",A partir de  50.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,"
													Alfa Romeo

													 giulia",A partir de  46.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
A110,62 500 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
A110 GT,72 500 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
A110 S,74 500 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
A110 R,110 000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
