PEUGEOT 2008 phase 2,"('1.2', 'PURETECH', '82', 'ACTIVE')",15 240 €,Publiée il y a 53 jours,410 L,"('Certifié SPOTICAR PREMIUM', 'Faible kilométrage', 'Bonne affaire', ""Crit'Air 1"", 'Vente en concession', 'Bluetooth', 'Climatisation')","((('Puissance fiscale :', '4 CV '), ('Puissances :', '(DIN) 83 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5 L/100 km '), ('Emission de CO2 :', 'B112 g/km')))","(',Extérieur et Chassis', ',Rétroviseurs rabattables électriquement', ',Peinture intégrale', ',Peinture opaque', ',Rampes de pavillon alu', ',Rétroviseurs électriques et dégivrants', ',Intérieur', ',Volant cuir', ',Ordinateur de bord', ',Banquette 1/3 - 2/3', ',Cache bagages', ',Climatisation', ',Direction assistée', ',Pack confort', ',Régulateur limiteur de vitesse', ',Vitres électriques', ',Sécurité', ',ESP', ',Antipatinage', ',ABS', ',3 ceintures ar. 3 points', ',AFU', ',Airbags front. + lat.', ',Projecteurs antibrouillard', ',ASR', ',Contrôle de pression des pneus', ',Fixations ISOFIX', ',Autre', ',Afficheur LCD blanc', ',Appuie-tête AR virgule (3)', ',Assiette de caisse rehaussée', ',Baguettes de bas de portes noires', ',Barres de toit longitudinales en aluminium', ',Bas de caisse noir mat', ',Becquet Couleur Caisse avec enjoliveur Noir Brillant', ',Boîte à gants ventilée', ',Autre', ',Commande de verrouillage à distance', ',Crosses de porte Noir profond', "",Eclairage d'accompagnement Follow-me-home"", "",Enjoliveur d'antibrouillard Chrome brillant"", ',Enjoliveur de console Noir brillant', ',Enjoliveurs supérieurs de portes AR Noir Brillant', ',Enjoliveurs supérieurs de portes AR en Noir Perla Nera', ',Essuie-vitre AR avec enclenchement automatique en marche AR', ',Feux AR à griffes 3D LEDs', ',Fonction Bluetooth', ',Garnissage Tissu Tokyo Mistral', ',Hill Assist', ',Indicateur de changement de rapport', ',Indicateur de rapport conseillé', ',Indicateur de température extérieure', ',Jantes acier 16"" avec enjoliveurs SILICE', ',Jonc de calandre chrome brillant', ',Kit de dépannage pneumatique (Clé et cric non inclus)', ',Lève-vitres AV et AR électriques impulsionnels', ',Lève-vitres AV et AR électriques séquentiels avec antipincement', ',Miroirs de courtoisie', ',PEUGEOT i-Cockpit Poste de pilotage innovant associant combiné tête haute, volant compact et grand écran tactile', ',Poignée de frein à main cuir pleine fleur', ',Prise 12V x 2 AR', ',Projecteurs AV avec masque noir/ chrome', ',Projecteurs avec feux diurnes à LEDs', ',Projecteurs halogènes avec feux diurnes à LED', ',Radio 6HP avec écran tactile capacitif 7"" (Bluetooth, Jack/USB, commandes au volant)', ',Rappel de clignotant intégré aux rétroviseurs extérieurs', ',Rétroviseurs extérieurs peints couleur carrosserie', ',Siège conducteur mécanique réglable en hauteur', ',Témoin de non bouclage des ceintures de sécurité AV', ',Verrouillage automatique de tous les ouvrants en roulant', ',Verrouillage des ouvrants par télécommande HF', ',Vide-poche fermé sur console centrale', ',Volant compact réglable en hauteur et en profondeur')"
RENAULT CLIO 5,"('1.0', 'EQUILIBRE', '', 'TCE')",20 720 €,Publiée il y a 16 jours, ,"('Véhicule récent', 'Bluetooth', 'Climatisation', 'Annonce récente')","((('Année :', '2024'), ('Provenance :', 'Importé '), ('Mise en circulation :', '14/06/2024'), ('Contrôle technique :', 'Non requis '), ('Première main :', 'Non '), ('Kilométrage compteur :', '11 km '), ('Energie :', 'Essence'), ('Boite de vitesse :', 'Manuelle'), ('Couleur :', 'rouge'), ('Nombre de portes :', '5')), (('Puissance fiscale :', '5 CV '), ('Puissances :', '(DIN) 90 ch ')), ((""Crit'Air :"", 'Euro 1 et avant '), ('Emission de CO2 :', 'B105 g/km')))","(',Extérieur et Chassis', ',Aide parking', ',Rétroviseurs électriques', ',Rétroviseurs électriques et dégivrants', ',Intérieur', ',Climatisation', ',Fermeture électrique', ',Prise audio USB', ',Régulateur de vitesse', ',Siège conducteur réglable hauteur', ',Vitres électriques', ',Volant cuir', ',Volant réglable en hauteur', ',Écran tactile', ',Confort', ',Bluetooth', ',Sécurité', ',ABS', ',Aide au démarrage en côte', ',Airbags front. + lat.', ',Airbags latéraux', ',Détecteur de pluie', ',Fixations ISOFIX', ',Phares av. de jour à LED', ',Autre', ',Alerte de distance de sécurité', "",Appel d'Urgence Renault"", ',Assistant maintien dans la voie', ',DAB', "",Disques de roues en acier 15 ''"", ',Décors intérieur chromés (cerclage aérateur)', ',Eco Mode', ',Ecran 4', ',Equipements de sécurité avancée', ',Fonction de connectivité avec Android Auto  et Apple CarPlay', "",Freinage actif d'urgence avec détection de piéton"", ',Peinture métallisée Rouge Flamme', ',Poignées de portes ton carrosserie', ',Roue de secours', ',Rétroviseurs extérieurs couleur noir brillant', ',Rétroviseurs extérieurs rabattable manuellement', ',Sellerie tissu Noir avec motifs', ',Sieges arrières rabattable', ',Siège avec regulation de température', ',enjoliveurs Kala', ',feux à LED', ',volant réglable en profondeur')"
CITROEN C3 III phase 2,"('1.2', 'PURETECH', '110', 'SHINE')",21 510 €,Publiée il y a 58 jours,300 L,"('Certifié SPOTICAR PREMIUM', 'Bonne affaire', 'Caméra de recul', 'Première main', ""Crit'Air 1"", 'Vente en concession', 'Bluetooth')","((('Puissance fiscale :', '6 CV '), ('Puissances :', '(DIN) 110 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '6,1 L/100 km '), ('Emission de CO2 :', 'C135 g/km')))","(',Extérieur et Chassis', ',Roue de secours', ',Rétroviseurs rabattables électriquement', ',Aide parking', ',Pack visibilité', ',Rétroviseurs électriques et dégivrants', ',Intérieur', ',Ordinateur de bord', ',Banquette 1/3 - 2/3', ',Caméra de recul', ',Climatisation automatique', ',Direction assistée', ',Fermeture électrique', ',Prise 12V', ',Régulateur limiteur de vitesse', ',Rétroviseur int. jour/nuit auto', ',Siège conducteur réglable hauteur', ',Vitres électriques', ',Volant multifonctions', ',Volant réglable en hauteur et profondeur', ',Sécurité', ',ESP', ',ABS', ',Aide au démarrage en côte', ',AFU', ',Projecteurs antibrouillard', ',Fixations ISOFIX', ',Phares av. de jour à LED', ',Autre', ',Accoudoir conducteur et le bandeau de planche de bord à l?aspect bois', ',Airbags frontaux, latéraux AV et rideaux', ',Airbump Black avec gélule Blanc Banquise', ',Ambiance Techwood', ',Bandeau de planche de bord aspect Bois', ',Clignotants impulsionnels', ',Autre', "",Climatisation automatique avec fonction filtrage de l'air"", ',Coques de rétroviseurs couleur pavillon', ',Coques de rétroviseurs extérieurs Noir Brillant', ',Décors extérieurs Noir Brillant', ',Elargisseurs d?ailes et bas de caisse', ',Elargisseurs d?ailes et bas de caisse Noir Mat', ',Feux AR à effet 3D', ',Garnissage Tissu Brumeo / Tissu effet cuir Isabella avec Sièges Advanced Comfort - Ambiance Techwood', ',Jantes alliage 17"" VECTOR diamantées', ',Jantes alliage 17"" VECTOR diamantées (non chaînable)', ',Kit de réparation crevaison', ',Kit mains libres Bluetooth et prise USB', ',Levier de frein à main en croûte de cuir', ',Lève-vitres AR électriques séquentiels', ',Lève-vitres AV séquentiels', ',Lève-vitres AV électriques séquentiels', ',Pack Color Noir', ',Pack Color Rouge', ',Pack Safety', ',Pare-soleil avec miroir occultable côtés conducteur et passager', ',Pavillon bi-ton avec coques de rétroviseurs couleur pavillon et adhésifs de custodes avec motif', ',Plafonnier AV avec lecteur de carte', ',Poignées de portes extérieures couleur caisse', ',Pommeau de levier de vitesse en croute de cuir', ',Projecteurs LED', ',Système Start & Stop', ',Système audio numérique MP3 6 HP (DAB)', ',Sécurité enfants mécanique', ',Toit Blanc Opale', ',Toit Noir Onyx', ',Toit bi-ton Noir Onyx', ',Vitres et lunette AR surteintés', ',Volant en croute de cuir', ',contrôle de pression des pneus')"
CITROEN GRAND C4 SPACETOURER,"('1.2', 'PURETECH', '131', 'BUSINESS')",24 960 €,Publiée il y a 60 jours,130 L,"('Caméra de recul', 'Première main', ""Crit'Air 1"", 'Bluetooth', 'Climatisation', 'Offre équitable')","((('Puissance fiscale :', '7 CV '), ('Puissances :', '(DIN) 131 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5,2 L/100 km '), ('Emission de CO2 :', 'B115 g/km')))","(',Extérieur et Chassis', ',Aide parking', ',Aide parking av/ar', ',Barres de toit', ',Frein de parking automatique', ',Jantes alu', ',Pare-brise athermique', ',Rétroviseurs électriques et dégivrants', ',Intérieur', ',Régulateur de vitesse', ',Ordinateur de bord', ',Bluetooth', ',7 places', ',Caméra de recul', ',Climatisation automatique', ',Climatisation automatique multi zone', ',Prise audio USB', ',Régulateur limiteur de vitesse', ',Sièges réglables en hauteur', ',Système audio MP3', ',Vitres ar. surteintées', ',Vitres électriques', ',Volant cuir', ',Volant réglable en hauteur et profondeur', ',Sécurité', ',ESP', ',Antipatinage', ',ABS', ',Sécurité', ',Aide au démarrage en côte', ',AFU', ',Airbags frontaux', ',Projecteurs antibrouillard', ',Contrôle de pression des pneus', ',Essuie-glaces automatiques', ',Feux automatiques', ',Autre', ',Accoudoirs centraux AV réglables en inclinaison', ',Aérateurs bizone en rang 2', ',CITROËN Connect Nav avec CITROËN Connect Box', ',Coffee Break Alert', "",Ecran panoramique 12'' HD"", ',Garnissage Tissu Milazzo Grey', ',Indicateur de changement de rapport', ',Kit de réparation crevaison', ',Pack Safety', ',Pare-brise acoustique', ',Signature lumineuse à LED', ',Sièges en rang 2 coulissants', ',Sièges en rang 3 escamotables', ',Système Start & Stop', "",Tablette tactile 7'' de commande des fonctionnalités"", ',Tablettes aviation au dos des sièges AV', ',prise 230V', ',siège passager réglable', ',volant réglable')"
VOLKSWAGEN TIGUAN phase 2,"('2.0', 'TDI', '177', 'R-EXCLUSIVE')",25 870 €,Publiée il y a 60 jours,470 L,"('Faible kilométrage', 'GPS', 'Bluetooth', 'Offre équitable')","((('Puissance fiscale :', '10 CV '), ('Puissances :', '(DIN) 177 ch - (moteur) 130 kW ')), (('Norme euro :', 'EURO5 '), (""Crit'Air :"", '2\n\n\n\n\n\n '), ('Consommation mixte :', '5,6 L/100 km '), ('Emission de CO2 :', 'D159 g/km')))","(',Extérieur et Chassis', ',Rétroviseurs extérieurs réglage électrique', ',Phares directionnels', ',Phares à allumage automatique', ',Rétroviseurs extérieurs chauffants', ',Ampoules de phares xénon', ',Antibrouillards avant', ',Aide parking', ',Intérieur', ',Système audio inclut DVD', ',Toit vitré', ',Ordinateur de bord', ',Air conditionné auto', ',Système de navigation', ',Système audio lecteur CD et MP3', ',Rétroviseur jour/nuit', ',Bluetooth', ',8 haut-parleurs', ',Régulateur de vitesse', ',Air conditionné 2 zones', ',Siège avant chauffant', ',Réglage du volant en hauteur, en profondeur', ',Intérieur', ',Boite automatique', ',GPS', ',Régulateur limiteur de vitesse', ',Rétroviseur int. jour/nuit auto', ',Sièges chauffants', ',Sièges électriques', ',Volant multifonctions', ',Sécurité', ',ESP', ',Antipatinage', ',Système détection de collision', ',Lave-phares', ',Indicateur de sous-gonflage des pneus', "",Assistance au freinage d'urgence"", ',ABS', ',Airbags latéraux', ',Essuie glace capteur de pluie', ',Aide au démarrage en côte', ',Feux et essuie-glaces automatiques', ',Kit téléphone main libre bluetooth', ',Autre', ',Système Start & Stop')"
SKODA KAMIQ,"('1.0', 'AMBITION', '', 'TSI')",23 610 €,Publiée il y a 46 jours, ,"('Caméra de recul', 'Véhicule récent', 'Bluetooth', 'Climatisation')","((('Année :', '2024'), ('Provenance :', 'Importé '), ('Mise en circulation :', '26/02/2024'), ('Contrôle technique :', 'Non requis '), ('Première main :', 'Non '), ('Kilométrage compteur :', '11 km '), ('Energie :', 'Essence'), ('Boite de vitesse :', 'Manuelle'), ('Couleur :', 'noir'), ('Nombre de portes :', '5')), (('Puissance fiscale :', '5 CV '), ('Puissances :', '(DIN) 95 ch ')), ((""Crit'Air :"", 'Euro 1 et avant '), ('Emission de CO2 :', 'C126 g/km')))","(',Extérieur et Chassis', ',Aide parking', ',Jantes alu', ',Peinture intégrale', ',Rétroviseurs dégivrants', ',Intérieur', ',Accoudoir central avant', ',Caméra de recul', ',Climatisation automatique', ',Fermeture électrique', ',Ordinateur de bord', ',Prise audio USB', ',Régulateur de vitesse', ',Rétroviseur int. jour/nuit auto', ',Siège conducteur réglable hauteur', ',Sièges réglables en hauteur', ',Support lombaires', ',Vitres électriques', ',Vitres surteintées', ',Volant cuir', ',Écran tactile', ',Sécurité', ',Aide au démarrage en côte', ',Airbag frontal', ',Airbags front. + lat.', ',Airbags frontaux', ',Airbags latéraux', ',Sécurité', ',Airbags rideaux', ',Alerte franchissement ligne', ',Fixations ISOFIX', ',Kit téléphone main libre bluetooth', ',Phares av. de jour à LED', ',Autre', ',8 haut-parleurs', ',Banquette AR asymétrique et rabattable', ',Détecteur de fatigue du conducteur', ',Equipements de sécurité avancée', ',Feux de position et de stop arrière à LED', "",Front Assistant: freinage automatique d'urgence"", ',Isofix sur le siège passager', ',Peinture perle Noir Magic Nacré', ',Radio Bolero', ',Rampes de pavillion noires', ',Roue de secours', ',Sellerie tissu Noir', ',Siège conducteur à réglage lombaire', ',Smartlink sans fil', ',Système Start & Stop', ',Tuner DAB', ',e-call SOS', "",radar avant de détection d'obstacles"", ',rétroviseurs électriques', ',siège passager réglable')"
BMW SERIE 2 F45 ACTIVE TOURER,"('2.0', '220D', '190', 'M')",23 640 €,Publiée il y a 5 jours,468 L,"('GPS', 'Vente en concession', 'Bluetooth', 'Climatisation', 'Offre équitable', 'Annonce récente')","((('Puissance fiscale :', '10 CV '), ('Puissances :', '(DIN) 190 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '2\n\n\n\n\n\n '), ('Consommation mixte :', '4,1 L/100 km '), ('Emission de CO2 :', 'B117 g/km')))","(',Extérieur et Chassis', ',Aide parking', ',Aide parking av/ar', ',Frein de parking automatique', ',Jantes alu', ',Jantes alu 18""', ',Radar de recul', ',Suspension sport', ',Intérieur', ',Système audio CD', ',Régulateur de vitesse', ',Ordinateur de bord', ',Bluetooth', ',Accoudoir central arrière', ',Accoudoir central avant', ',Carte main libre', ',Climatisation automatique', ',Climatisation automatique multi zone', ',Fermeture électrique', ',GPS', ',Palettes au volant', ',Régulateur limiteur de vitesse', ',Sièges électriques', ',Sièges réglables en hauteur', ',Système audio MP3', ',Trappe à skis', ',Vitres électriques', ',Vitres surteintées', ',Volant multifonctions', ',Volant réglable en hauteur et profondeur', ',Sécurité', ',ESP', ',Antipatinage', ',ABS', ',Aide au démarrage en côte', ',Affichage tête haute', ',AFU', ',Airbags', ',Airbags frontaux', ',Projecteurs antibrouillard', ',Contrôle de pression des pneus', ',Sécurité', ',Détecteur de pluie', ',Essuie-glaces automatiques', ',Feux automatiques', ',Fixations ISOFIX', ',Kit téléphone main libre bluetooth', ',Phares av. de jour à LED', ',Radar anti-collision', ',Antivol', ',Anti démarrage', ',Autre', ',5 places', ',Antenne aileron de requin', "",Appel d'urgence"", ',Assist. démarrage en côte', "",Assist. freinage d'urgence"", ',Blocage de différentiel électronique', "",Carnet d'entretien"", ',Contrôle de somnolence', "",Détection d'obstacles"", ',FAP', ',Info traffic', "",Lumière ext. d'accueil"", ',Modes de conduite', ',Park assist', ',Ref: 306181', ',Rétroviseurs couleur carrosserie', ',Rétroviseurs ext. élect. rabattables et chauffants', ',Sièges AR modulables rabattables', ',Sièges tissu / Alcantara', ',Système Start & Stop', ',commandes vocales', ',démarrage sans clé', ',feux à LED', ',intérieur : tissu alcantara', "",radar avant de détection d'obstacles"", ',radio numérique', "",système d'appel d'urgence"", ',système de détection de la somnolence', ',volant réglable', ',Écran multimédia')"
PEUGEOT 308 III,"('1.2', 'PURETECH', '130', 'GT')",32 930 €,Publiée il y a 60 jours,412 L,"('Faible kilométrage', 'Bonne affaire', 'Caméra de recul', 'Première main', ""Crit'Air 1"", 'Sous garantie constructeur', 'Véhicule récent')","((('Puissance fiscale :', '7 CV '), ('Puissances :', '(DIN) 130 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5,7 L/100 km '), ('Emission de CO2 :', 'C128 g/km'), ('Prime à la conversion :', ' ')))","(',Extérieur et Chassis', ',Pédalier Sport aluminium et repose pied en aluminium', ',Seuils de porte AV aluminium', ',Coques de rétroviseurs extérieurs Noir Brillant', ',Bandeau entre feux AR noir brillant', ',Driver Sport Pack', ',Jupe AR Noir Brillant avec décors chromés', "",Diffuseurs d'air AR"", ',Calandre AV spécifique Noir verni avec inserts chromés et écopes Noir Brillant', ',Elargisseurs de pare chocs AV et de bas de caisse latéraux', ',Monogrammes latéraux emblème Lion', ',Décor Alu sur panneaux de porte', ',Lécheurs de vitres Noir Brillant', ',Aide parking', ',Aide parking av/ar', ',Frein de parking automatique', ',Jantes alu', ',Jantes alu 18""', ',Rétroviseurs électriques', ',Intérieur', ',Réglage lombaire du siège conducteur', ',Volant cuir', ',Ciel de pavillon noir', "",4 poignées de maintien (2 à l'AV et 2 à l'AR)"", ',2 télécommandes 3 boutons', "",Smart Multidrive: personnalisation du combiné et éclairage d'ambiance LED intérieur associés aux modes de conduite"", ',Eclairage d’ambiance (8 couleurs)', ',Vitres AV feuilletées', ',Fonction Mirror Screen (Apple CarPlay/Android Auto) sans fil', "",2 prises USB-C à l'AV"", ',Pare-brise teinté feuilleté acoustique', ',Volant avec réglage manuel en hauteur et en profondeur', ',Navigation connectée', ',Carte main libre', ',Climatisation automatique multi zone', ',Direction assistée', ',Prise 12V', ',Prise audio USB', ',Siège conducteur réglable hauteur', ',Sièges réglables en hauteur', ',Tapis de sol', ',Trappe à skis', ',Vitres ar. surteintées', ',Vitres électriques', ',Sécurité', ',Caméra de recul', ',Alerte attention conducteur', "",Ceintures de sécurité AR 3 points à enrouleur (x3) avec prétensionneurs et limiteurs d'effort aux places latérales"", ',Reconnaissance étendue des panneaux de signalisation', ',Pack Drive Assist + Rear warning', ',Projecteurs Peugeot Matrix LED', ',Feux AR spécifiques avec allumage dynamique griffe à griffe', ',Aide au démarrage en côte', ',Airbags frontaux', ',Airbags latéraux', ',Airbags rideaux', ',ESP', ',Essuie-glaces automatiques', ',Feux automatiques', ',Fixations ISOFIX', ',Autre', ',5 places', ',Air Quality System', ',Alerte active de franchissement involontaire de ligne et bas cote', "",Ecran central tactile 10''"", ',Garnissage tri-matieres TEP/Alcantara Fraxx Knit', ',Kit de depannage de pneumatique : compresseur 12 volts', ',Pack Winter Relax : Volant Cuir chauffant Clean Cabin', ',Peugeot i-Cockpit avec instrumentation numérique 10"" personnalisable sans fonction 3D', ',Planche de bord avec jonc transversal chrome', ',Recharge smartphone par induction', "",Retroviseurs exterieurs avec eclairage d'accueil a LED et temoins de surveillance d'angles morts"", ',Sieges arrières rabattable', ',Système Start & Stop', ',Sélecteur mode de conduite Eco et Sport', ',VŒU', ',accoudoir central', ',anneau de remorquage', ',blanc nacré', ',clignotants LED', ',contrôle de pression des pneus', ',decor Alu et surpiqures Vert', ',deux cales de roue', ',flacon de produit de colmatage', ',manivelle de frein de stationnement electrique', ',siège passager réglable', ',surpiqures Vert')"
RENAULT ZOE,"('', '88ch', '', '22kWh')",9 610 €,Publiée il y a 60 jours,338 L,"('Faible kilométrage', 'Energie verte', ""Crit'Air 0"", 'Climatisation', 'Offre équitable', 'Annonce récente')","((('Rechargeable :', 'oui'), ('Autonomie batterie :', '210 km '), ('Capacité batterie :', '22 kWh'), ('Voltage batterie :', '400 V'), ('Conso. batterie :', '14 kWh/100 km'), ('Prix inclut batterie :', 'non ')), (('Puissance fiscale :', '1 CV '), ('Puissances :', '(DIN) 92 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '0\n\n\n\n\n\n '), ('Prime à la conversion :', ' ')))","(',Intérieur', ',Ordinateur de bord', ',Régulateur de vitesse', ',Climatisation automatique', ',Fermeture électrique automatique', ',Régulateur limiteur de vitesse', ',Vitres électriques', ',Sécurité', ',Aide au démarrage en côte', ',Sécurité', ',Feux automatiques', ',Fixations ISOFIX', ',Phares av. de jour à LED', ',Autre', ',5 places', "",Enjoliveurs de roue 15'' Arobase"", ',Prise de recharge face avant', ',Vitres bleues arrière surteintées')"
PEUGEOT BOXER II phase 2,"('2.0', 'BLUEHDI', '110', 'PREMIUM')",27 700 €,Publiée il y a 60 jours, ,"('Faible kilométrage', 'Première main', 'Bluetooth', 'Climatisation', 'Offre équitable')","((('Année :', '2020'), ('Provenance :', 'France'), ('Mise en circulation :', '01/05/2020'), ('Contrôle technique :', 'Non requis '), ('Première main :', 'Oui '), ('Kilométrage compteur :', '36 300 km '), ('Energie :', 'Diesel'), ('Boite de vitesse :', 'Manuelle'), ('Couleur :', 'bleu verni'), ('Sellerie :', 'tissu noir'), ('Nombre de portes :', '4'), ('Nombre de places :', '3'), ('Longueur :', '4,96 m')), (('Puissance fiscale :', '7 CV '), ('Puissances :', '(DIN) 110 ch - (moteur) 81 kW ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '2\n\n\n\n\n\n '), ('Consommation mixte :', '5,7 L/100 km '), ('Emission de CO2 :', 'D158 g/km')))","(',Extérieur et Chassis', ',Rétroviseurs extérieurs chauffants', ',Ampoules de phares halogènes', ',Rétroviseurs extérieurs réglage électrique', ',Roue de secours', ',Aide parking', ',Porte latérale', ',Porte latérale coulissante', ',Rétroviseurs électriques', ',Rétroviseurs rabattables', ',Intérieur', ',Volant mousse', ',Système audio écran tactile, CD', ',Limiteur de vitesse', ',Bluetooth inclut musique en streaming, connexion téléphone', ',Ordinateur de bord', ',Air conditionné manuel', ',Bluetooth', ',2 haut-parleurs', ',Régulateur de vitesse', ',Réglage du volant en profondeur', ',Accoudoir central avant', ',Système audio lecteur CD et MP3', ',Taille écran multi-fonctions 5 pouces', ',Intérieur', ',Boite 6 vitesses', ',Climatisation', ',Cloisons', ',Direction assistée', ',Fermeture électrique', ',Kit téléphone main libre', ',Pack clim', ',Pack multimédia', ',Tapis de sol', ',Tapis de sol caoutchouc', ',Volant multifonctions', ',Volant réglable', ',Écran tactile', ',Sécurité', ',1 airbags', "",Assistance au freinage d'urgence"", ',ESP', ',Antipatinage', ',ABS', ',Aide au démarrage en côte', ',Airbags', ',Kit téléphone main libre bluetooth', ',Autre', ',TVA récupérable')"
