VOLKSWAGEN TIGUAN II phase 2,"('2.0', 'TDI', '150', 'ELEGANCE')",39 340 €,Publiée il y a 60 jours,615 L,"('Bonne affaire', 'Caméra de recul', 'GPS', 'Bluetooth', 'Climatisation')","((('Puissance fiscale :', '8 CV '), ('Puissances :', '(DIN) 150 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '2\n\n\n\n\n\n '), ('Consommation mixte :', '5,7 L/100 km '), ('Emission de CO2 :', 'D148 g/km')))","(',Extérieur et Chassis', ',Aide parking av/ar', ',Frein de parking automatique', ',Jantes alu', ',Toit ouvrant panoramique', ',Intérieur', ',Palettes au volant', ',Bluetooth', ',Caméra de recul', ',Carte main libre', ',Climatisation automatique', ',Fermeture électrique', ',GPS', ',Pack chrome', ',Prise 12V', ',Régulateur de vitesse', ',Régulateur limiteur de vitesse', ',Sièges sport', ',Vitres ar. surteintées', ',Intérieur', ',Volant multifonctions', ',Sécurité', ',Détecteur de pluie', ',Feux automatiques', ',Autre', ',5 places', ',App-Connect sans fil', ',Chargeur à induction', ',Châssis sport', ',Cockpit numérique', ',Détecteur de fatigue', ',Front assist avec freinage d?urgence et détection de piétons', ',Pack Drive Assist', ',Projecteurs IQ.Light - Matrix LED', ',Préparation pour ?We Connect? et ?We Connect Plus? ? Durée 3 ans', ',Rétroviseurs extérieurs chauffants rabattables et réglables électriquement', ',Sellerie Microfleece ?ArtVelours?', ',Système Start & Stop', ',Système de protection proactive des occupants')"
MG B,"('1.8', '', '97', '')",23 180 €,Publiée il y a 14 jours, ,"('Annonce récente',)","((('Année :', '1980'), ('Provenance :', 'France'), ('Mise en circulation :', '10/07/1980'), ('Contrôle technique :', 'Requis '), ('Première main :', 'Non '), ('Nombre de propriétaires :', '3 '), ('Kilométrage compteur :', '46 400 km '), ('Energie :', 'Essence'), ('Boite de vitesse :', 'Manuelle'), ('Couleur :', 'jaune'), ('Nombre de portes :', '2'), ('Nombre de places :', '2')), (('Puissance fiscale :', '10 CV '), ('Puissances :', '(DIN) 97 ch ')))","(',Intérieur', ',Intérieur cuir', ',Autre', ',2 places', ',Autre', ',capote', "",freins à disque à l'avant"", ',jantes minilites', ',pot échappement inox')"
PEUGEOT 208 II,"('1.2', 'PURETECH', '75', 'ACTIVE')",17 380 €,Publiée il y a 12 jours,311 L,"('Certifié SPOTICAR PREMIUM', 'Faible kilométrage', 'Première main', ""Crit'Air 1"", 'Offre équitable')","((('Puissance fiscale :', '4 CV '), ('Puissances :', '(DIN) 75 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5,2 L/100 km '), ('Emission de CO2 :', 'B118 g/km'), ('Prime à la conversion :', ' ')))","(',Extérieur et Chassis', ',Aide parking', ',Intérieur', ',Régulateur limiteur de vitesse', ',Vitres ar. surteintées', ',Sécurité', ',Airbags latéraux', ',Airbags frontaux', ',Autre', ',5 places', ',Autre', ',Ceintures de sécurité AR latérales avec enrouleurs pyrotechniques', ',Lion chromé et commandes multimédia sur volant', ',Lève-vitres AV séquentiels avec anti-pincement', ',Teinte métallisée Gris Artense', ',Teinte métallisée Gris Platinium', ',Teinte métallisée Noir Perla Nera', ',Volant compact croute de cuir', ',dimension des jantes : 16 pouces', "",limiteurs d'effort et détection de non bouclage"")"
MERCEDES GLA AMG phase 2,"('2.0', 'AMG', '45', '381')",48 900 €,Publiée il y a 60 jours,421 L,"('Certifié Garantie OR', ""Crit'Air 1"", 'Bluetooth')","((('Puissance fiscale :', '27 CV '), ('Puissances :', '(DIN) 381 ch - (moteur) 280 kW ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '8,4 L/100 km '), ('Emission de CO2 :', 'E190 g/km')))","(',Extérieur et Chassis', ',Phares à allumage automatique', ',Ampoules de phares LED', ',Feux arrières à LED', ',Rétroviseurs extérieurs réglage électrique', ',Feux de route à LED', ',Rétroviseurs extérieurs chauffants', ',Feux de croisement automatiques', ',Rétroviseurs rabattables électriquement', ',Intérieur', ',Système audio CD', ',Bouton démarrage', ',Palettes au volant', ',Information trafic', ',Fermerture électrique du coffre', ',Air conditionné auto', ',Système de navigation', ',Système audio lecteur CD et MP3', ',Connexion Internet', ',Bluetooth inclut musique en streaming, connexion téléphone', ',Régulateur de vitesse', ',Smart card / Smart key', ',Volant suede & cuir', ',Ordinateur de bord', ',Tapis de sol', ',Ouverture du coffre à distance', ',Taille écran navigation 7 pouces', ',Accoudoir central arrière, avant', ',Limiteur de vitesse', ',Rétroviseur jour/nuit', ',Volant multi-fonction', ',Intérieur', ',Bluetooth', ',Reconnaissance vocale', ',6 haut-parleurs', ',Air conditionné 2 zones', ',Siège avant chauffant', ',Réglage du volant en hauteur, en profondeur', ',Taille écran multi-fonctions 4.5 pouces', ',Sécurité', ',7 airbags', ',ESP', ',Airbags rideaux', ',Contrôle de freinage en courbe', ',Système détection de collision', ',Lave-phares', ',Indicateur de sous-gonflage des pneus', "",Assistance au freinage d'urgence"", ',Kit anticrevaison', ',Essuie glace capteur de pluie', ',Capot à soulèvement pour choc piéton', ',Antipatinage', ',ABS', ',Airbags latéraux', ',Aide au démarrage en côte', ',Autre', ',Inserts décoratifs finition AMG carbone', ',Jantes alliage AMG 50,8 cm (20"") à 10 branches avec pneus 235/40 R20', ',Peinture métallisée', ',Siège conducteur à réglages électriques avec fonction Mémoires', ',Siège passager avant à réglages électriques avec fonction Mémoires', ',Système de sonorisation Surround Harman Kardon® Logic7® (12 Haut-parleurs hautes performances ;amplificateur DSP multicanaux Harman Kardon® ; 500 W)', ',Toit ouvrant panoramique électrique')"
CITROEN C5 AIRCROSS,"('1.6', 'PURETECH', '181', 'SHINE')",30 730 €,Publiée il y a 19 jours,720 L,"('Faible kilométrage', 'Bonne affaire', 'Première main', ""Crit'Air 1"", 'Bluetooth', 'Climatisation', 'Annonce récente')","((('Puissance fiscale :', '10 CV '), ('Puissances :', '(DIN) 181 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5,7 L/100 km '), ('Emission de CO2 :', 'C128 g/km')))","(',Extérieur et Chassis', ',Barres de toit', ',Frein de parking automatique', ',Jantes alu 18""', ',Peinture intégrale', ',Projecteurs xénon', ',Rétroviseurs électriques et dégivrants', ',Intérieur', ',Volant cuir', ',Bluetooth', ',Carte main libre', ',Climatisation', ',Prise audio USB', ',Rétroviseur int. jour/nuit auto', ',Siège conducteur réglable hauteur', ',Sièges chauffants', ',Sièges électrique à mémoire', ',Support lombaires', ',Vitres électriques', ',Vitres surteintées', ',Intérieur cuir', ',Sécurité', ',ESP', ',Airbags rideaux', ',Sécurité', ',ABS', ',Airbags latéraux', ',Aide au démarrage en côte', ',AFU', ',Airbag frontal', ',Airbags frontaux', ',Contrôle de pression des pneus', ',Détecteur de pluie', ',Feux automatiques', ',Fixations ISOFIX', ',Phares av. de jour à LED', ',Autre', ',3 sièges individuels arrière', ',5 places', ',Feux indicateurs de changement de direction', ',Grip Control', ',Hayon électrique main-libre', ',Kit de réparation crevaison', ',Siège avant massant', ',Système Start & Stop', ',Vitres acoustiques', ',siège passager réglable', ',volant réglable')"
RENAULT TWINGO III phase 2,"('0.9', 'TCE', '93', 'INTENS')",19 220 €,Publiée il y a 60 jours,219 L,"('Certifié Renault Garantie PRIX FUTE', 'Faible kilométrage', 'Première main', ""Crit'Air 1"", 'Bluetooth', 'Offre équitable')","((('Puissance fiscale :', '5 CV '), ('Puissances :', '(DIN) 93 ch - (moteur) 68 kW ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Consommation mixte :', '5,1 L/100 km '), ('Emission de CO2 :', 'B116 g/km')))","(',Extérieur et Chassis', ',Rétroviseurs extérieurs réglage électrique', ',Phares à allumage automatique', ',Rétroviseurs extérieurs chauffants', ',Ampoules de phares halogènes', ',Freins régénérateurs', ',Antibrouillards avant', ',Intérieur', ',Volant cuir', ',Ordinateur de bord', ',Air conditionné manuel', ',Ouverture du coffre à distance', ',Limiteur de vitesse', ',Volant multi-fonction', ',Bluetooth inclut musique en streaming, connexion téléphone', ',Bluetooth', ',2 haut-parleurs', ',Intérieur', ',Régulateur de vitesse', ',Pré-équipement téléphone', ',Réglage du volant en hauteur', ',Taille écran multi-fonctions 7 pouces', ',Sécurité', ',4 airbags', ',ESP', ',Antipatinage', ',Indicateur de sous-gonflage des pneus', "",Assistance au freinage d'urgence"", ',ABS', ',Airbags latéraux', ',Kit anticrevaison', ',Aide au démarrage en côte', ',Autre', ',Aide au parking arrière')"
PORSCHE CAYENNE III COUPE,"('3.0', 'V6', '462', '')",102 700 €,Publiée il y a 56 jours,460 L,"('Energie verte', 'Peu polluante', 'Caméra de recul', ""Crit'Air 1"", 'Climatisation', 'Annonce récente')","((('Rechargeable :', 'oui'), ('Prix inclut batterie :', 'oui')), (('Puissance fiscale :', '20 CV '), ('Puissances :', '(DIN) 462 ch - (moteur) 250 kW ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Emission de CO2 :', 'A70 g/km')))","(',Extérieur et Chassis', ',Pack Intérieur Noir finition brillante', ',Etriers de freins noirs', "",Bouclier AV avec prises d'air de refroidissement intégrées"", "",Pré-équipement pour dispositif d'attelage"", ',Poignées de portes peintes dans la teinte extérieure', ',Protection anti-encastrement latérale dans les portières', ',Entourage des vitres latérales couleur Argent', ',Hayon AR avec becquet de toit intégré', ',3ème feu stop (LED) intégré au becquet de toit', ',Intérieur', ',Direction assistée', ',Rétroviseurs extérieurs chauffants, réglables et repliables électriquement de forme asphérique côté conducteur', "",Rangements dans l'habitacle"", ',Couvre-bagages souple enroulable (dissimulé dans un boitier amovible)', ',Essuie-glace AR avec commande de balayage intermittent et buse de lavage', ',Dégivrage de la lunette AR avec arrêt automatique', "",Climatisation automatique avec réglage individuel de la température pour le conducteur et le passage r, commande de recyclage de l'air avec capteur de qualité de l'air et réglage individuel du débit d'air côtés conducteur et passager, touche AC MAX et capteur d'humidité"", ',Filtre à particules/pollen avec filtre à charbon actif', "",5 sièges, banquette AR composée de 2 sièges latéarux confortables et d'un siège central"", ',Verrouillage centralisé avec télécommande', ',Volant sport multifonctions avec palettes', "",Banquette AR avec sièges AR rabattables séparément (40/20/40) et accoudoir central rabattable avec 2 porte-gobelets, réglage longitidunal et réglage de l'inclinaison du dossier manuels"", "",Assistant d'éclairage automatique avec éclairage d'accompagnement"", "",Ceintures de sécurité automatique 3 points avec prétensionneurs (sièges AV et AR latéraux) et limite ur d'effort de ceinture (sièges AV) et ceinture automatique 3 points sur la place AR centrale"", ',Points de renvoi des ceintures conducteur et passager réglables manuellement en hauteur', ',Porte-bouteille dans les garnitures de portes AV et AR', ',2 ports de charge USB dans la console centrale AR', ',Vitrage athermique teinté', ',Système de haut-parleurs Hi-Fi avec 10 HP 150 W', ',2 ports de charge et de connexion USB dans la console centrale AV', "",3 prises de courant 12 volts à l'AV"", "",Concept d'éclairage de l'habitacle à LED"", ',Témoin de ceinture pour sièges conducteur et passager et banquette AR', ',Rétroviseur intérieur avec fonction anti-éblouissement manuelle', ',Essuie-glaces AV à 2 vitesses avec commande de balayage intermittent et capteur de pluie', ',Compte-tours analogique central avec fond de compteur Noir', "",Témoin d'usure des plaquettes de frein"", ',Toit vitré fixe panoramique', ',Sécurité', ',ABS', ',Airbags rideaux', ',Régulateur de vitesse', ',Sécurité', ',Airbags latéraux AV intégrés aux sièges', ',Airbags grand volume conducteur et passager', "",Système d'ancrage ISOFIX pour fixation de sièges enfant sur les sièges AR latéraux"", ',Capteur de retournement pour déclenchement des airbags rideaux et des prétensionneurs en cas de risque de tonneau', ',Assistance de parking AV/AR avec avertisseur sonore', ',Phares à LED', ',Feux de jour 4 points à technologie LED', ',Blocs optiques AV avec feux de position et clignotants à conducteurs de lumière à technologie LED', ',Feux AR à LED avec graphisme tridimensionnel avec feux stop intégrés 4 points et bandeau lumineux', ',Airbags de genoux pour le conducteur et le passager', ',Autre', ',Accès Confort', ',Affichage des limitations de vitesse avec assistance de changement de voie', ',Assistance angle morts', ',Assistance parking AV et AR avec caméra de recul et vue 360°', ',Assistance à la descente (Porshe Hill Control, PHC)', ',Becquet de toit peint en Noir (finition brillante)', ',Capot AV actif', ',Carters de protection AV et AR en acier spécial', ',Climatisation automatique 4 zones', ',Crochets porte-vêtements sur le montant central côtés conducteur et passager', "",Eclairage d'ambiance"", ',Fermeture assistée des portières - Soft Close', ',Feux AR à LED teintés avec bandeau lumineux', ',Fonction Auto-Hold', ',Fonction Stop Start', ',Frein de parking électrique', ',Frein multicollision', ',Jantes RS Spyder Design 21"" avec élargisseurs d\'ailes peints en couleur extérieure', ',Peinture unie Noir', ',Phares à LED avec fonction Porsche Dynamic Light System (PDLS)', ',Porsche Dynamic Chassis Control Sport (PDCC Sport)', ',Porsche InnoDrive avec Régulateur de vitesse adaptatif', ',Roues AR directrices', "",Régulateur de vitesse adaptatif avec fonction freinage d'urgence"", ',Rétroviseurs extérieurs et intérieur avec fonction anti-éblouissement automatique', ',Rétroviseurs extérieurs peints', "",Sièges chauffants à l'AV"", "",Sorties d'échappement sport peintes en noir"", ',Suppression du monogramme AR', ',Suspension pneumatique incluant le PASM (Porsche Active Suspension Management)', ',Tapis de sol', ',Vitrage AR fumé')"
JEEP RENEGADE,"('1.0', 'TURBO', '', '120CH')",28 060 €,Publiée il y a 60 jours, ,"('Véhicule récent', 'Bluetooth', 'Climatisation')","((('Année :', '2024'), ('Provenance :', 'Importé '), ('Mise en circulation :', '21/03/2024'), ('Contrôle technique :', 'Non requis '), ('Première main :', 'Non '), ('Kilométrage compteur :', '11 km '), ('Energie :', 'Essence'), ('Boite de vitesse :', 'Manuelle'), ('Couleur :', 'bleu'), ('Sellerie :', 'Tissu'), ('Nombre de portes :', '5')), (('Puissance fiscale :', '6 CV '), ('Puissances :', '(DIN) 120 ch - (moteur) 88 kW ')), ((""Crit'Air :"", 'Euro 1 et avant '), ('Emission de CO2 :', 'D147 g/km')))","(',Extérieur et Chassis', ',Aide parking av/ar', ',Jantes alu', ',Jantes alu 17""', ',Pack visibilité', ',Intérieur', ',Accoudoir central avant', ',Climatisation automatique', ',Ordinateur de bord', ',Prise 12V', ',Prise audio USB', ',Régulateur de vitesse', ',Régulateur limiteur de vitesse', ',Rétroviseur int. jour/nuit auto', ',Siège conducteur réglable hauteur', ',Vitres surteintées', ',Volant réglable en hauteur', ',Écran tactile', ',Confort', ',Bluetooth', ',Sécurité', ',Aide au démarrage en côte', ',Projecteurs antibrouillard', ',Détecteur de pluie', ',Fixations ISOFIX', ',Phares av. de jour à LED', ',Autre', ',5 places', ',Barres longitudinales', ',Capteurs de pression des pneus avec affichage indépendant pour chaque roue', ',Commandes radio et Bluetooth sur le volant', ',Diffusion audio numérique (DAB)', ',Frein de stationnement à commande électrique', ',Peinture métalisée Blue Shade', ',Port USB pour les sièges arrière', ',Roue de secours', ',Rétroviseurs extérieurs à réglage électrique avec dégivrage', ',Services en direct Uconnect', ',Sieges arrières rabattable', ',Siège passager rabattable', ',Système Ecodrive (fournit des informations sur le style de conduite)', ',Système Start & Stop', "",Système d'avertissement franchissement de ligne"", ',Vitres arrière à commande électrique', ',Vitres avant à commande électrique avec système à 1 touche pour le conducteur et le passager', ',commandes vocales', ',détection des panneaux routiers', ',intérieur : tissu', ',siège conducteur avec réglage électrique des lombaires', ',volant réglable', ',Écran multifonction')"
AUDI Q3 II,"('2.0', 'S', '35', '150')",26 890 €,Publiée il y a 54 jours,530 L,"('Certifié Audi occasions :plus', 'Très bonne affaire', 'GPS', 'Vente en concession')","((('Puissance fiscale :', '8 CV '), ('Puissances :', '(DIN) 150 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '2\n\n\n\n\n\n '), ('Consommation mixte :', '4,5 L/100 km '), ('Emission de CO2 :', 'C132 g/km')))","(',Extérieur et Chassis', ',Hayon électrique', ',Peinture métallisée', ',Intérieur', ',Carte main libre', ',GPS', ',Sièges chauffants', ',Sécurité', ',Feux automatiques', ',Autre', ',Feux AR à technologie LED', ',Jantes aluminium coulé 5 branches doubles 8Jx18"" avec pneus 235/50 R18', ',Pack Eclairage', ',Pack Extérieur S line', ',Projecteurs Xénon Plus incluant lave-phares, feux de jour à LED', ',Sellerie mixte cuir Nappa/Alcantara avec logo S line', ',Volant Sport 3 branches multifonction en cuir avec méplat avec palettes de changement de vitesse')"
RENAULT CAPTUR II,"('1.6', 'TECHNO', '145', '')",34 030 €,Publiée il y a 60 jours,305 L,"('Faible kilométrage', 'Bonne affaire', 'Energie verte', ""Crit'Air 1"", 'Sous garantie constructeur', 'Véhicule récent', 'Climatisation')","((('Prix inclut batterie :', 'oui'),), (('Puissance fiscale :', '5 CV '), ('Puissances :', '(DIN) 145 ch ')), (('Norme euro :', 'EURO6 '), (""Crit'Air :"", '1\n\n\n\n\n\n '), ('Emission de CO2 :', 'B107 g/km')))","(',Extérieur et Chassis', ',Aide au démarrage en côte', ',Rétroviseurs dégivrants', ',Intérieur', ',Climatisation automatique', ',Vitres AR surteintées', ',Sécurité', ',Feux automatiques', ',Autre', ',5 places', ',EASY LINK 7? avec Navigation', ',Eclairage avant et arrière Full LED Pure Vision avec signature lumineuse en forme de « C »', ',Autre', ',Freinage actif d?urgence', ',Navigation connectée avec cartographie Europe', ',Peinture Gris Cassiopée / Toit Noir Etoilé', ',Renault MULTI-SENSE', ',Roue de secours', "",Roues alliage 17''"", ',SPORT) et des 8 ambiances lumineuses intérieures', ',Volant Soft-Touch', ',compatible Android Auto', ',motos', ',personnalisation des 3 modes de conduites (MY SENSE', ',piétons')"
