Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Classe c,Mercedes, 27.01.2023, ALLEMAGNE,29 500 €,,0,0,,
Serie 5 gt,Bmw, 29.05.2023, ALLEMAGNE,19 000 €,,0,0,,
C4 spacetourer,Citroen, 10.08.2023, ALLEMAGNE,21 200 €,,0,0,,
Taro,Volkswagen, 11.12.2023, ALLEMAGNE,22 800 €,,0,0,,
Cayenne,Porsche, 28.12.2023, ALLEMAGNE,5 800 €,,0,0,,
Cabrio,Mini, 02.11.2023, ALLEMAGNE,12 500 €,,0,0,,
Grand cherokee,Jeep, 03.09.2023, ALLEMAGNE,18 000 €,,0,0,,
Serie 1,Bmw, 24.11.2023, ALLEMAGNE,5 200 €,,0,0,,
Charger,Dodge, 24.11.2023, ALLEMAGNE,44 990 €,,0,0,,
F150,Ford, 28.11.2023, ALLEMAGNE,12 000 €,,0,0,,
Classe c break,Mercedes, 15.12.2023, ALLEMAGNE,1 500 €,,0,0,,
Polo,Volkswagen, 27.12.2023, ALLEMAGNE,11 550 €,,0,0,,
Omega break,Opel, 01.01.2024, ALLEMAGNE,1 600 €,,0,0,,
Classe a,Mercedes, 29.11.2022, ALLEMAGNE,42 500 €,,0,0,,
Classe cla,Mercedes, 08.02.2023, ALLEMAGNE,47 700 €,,0,0,,
Classe c cabriolet,Mercedes, 17.02.2023, ALLEMAGNE,54 870 €,,0,0,,
Classe c break,Mercedes, 25.02.2023, ALLEMAGNE,45 400 €,,0,0,,
Classe c break,Mercedes, 25.02.2023, ALLEMAGNE,45 400 €,,0,0,,
Evito,Mercedes, 25.02.2023, ALLEMAGNE,46 500 €,,0,0,,
Classe cla,Mercedes, 26.02.2023, ALLEMAGNE,41 400 €,,0,0,,
Glb 2001.3,Mercedes, 04.04.2023, ALLEMAGNE,45 800 €,,0,0,,
Classe glc,Mercedes, 05.04.2023, ALLEMAGNE,44 990 €,,0,0,,
Classe cla,Mercedes, 21.04.2023, ALLEMAGNE,38 800 €,,0,0,,
Classe c break,Mercedes, 21.04.2023, ALLEMAGNE,52 250 €,,0,0,,
Classe c,Mercedes, 21.04.2023, ALLEMAGNE,52 250 €,,0,0,,
Classe c break,Mercedes, 17.05.2023, ALLEMAGNE,47 300 €,ESSENCE,9 500 KM,2023,AUTOMATIQUE,25980
I30 fastback,Hyundai, 17.05.2023, ALLEMAGNE,24 000 €,ESSENCE,43 500 KM,2019,MANUELLE,25980
Glb 2001.3,Mercedes, 18.05.2023, ALLEMAGNE,47 300 €,ESSENCE,9 500 KM,2023,AUTOMATIQUE,25980
Sprinter,Mercedes, 20.05.2023, ALLEMAGNE,29 990 €,DIESEL,67 591 KM,2018,MANUELLE,25980
Touran,Volkswagen, 22.05.2023, ALLEMAGNE,49 200 €,ESSENCE,3 200 KM,2023,AUTOMATIQUE,25980
Astra,Opel, 29.05.2023, ALLEMAGNE,8 900 €,ESSENCE,128 000 KM,2014,MANUELLE,25980
911 targa,Porsche, 30.05.2023, ALLEMAGNE,53 000 €,ESSENCE,220 000 KM,1979,MANUELLE,25980
Fiat 500,Abarth, 07.06.2023, ALLEMAGNE,15 999 €,ESSENCE,10 KM,1972,MANUELLE,25980
Classe cla,Mercedes, 10.06.2023, ALLEMAGNE,37 480 €,ESSENCE,5 603 KM,2022,AUTOMATIQUE,25980
Classe cla,Mercedes, 28.06.2023, ALLEMAGNE,49 990 €,DIESEL,6 206 KM,2023,AUTOMATIQUE,25980
Fortwo cabrio,Smart, 09.07.2023, ALLEMAGNE,11 500 €,ESSENCE,40 000 KM,2019,MANUELLE,25980
Classe glc,Mercedes, 11.07.2023, ALLEMAGNE,43 870 €,HYBRIDE,87 545 KM,2021,AUTOMATIQUE,25980
Multivan,Volkswagen, 11.07.2023, ALLEMAGNE,41 000 €,DIESEL,54 000 KM,2019,MANUELLE,25980
Classe c break,Mercedes, 12.07.2023, ALLEMAGNE,62 980 €,DIESEL,9 500 KM,2023,AUTOMATIQUE,25980
