Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Fiesta,Ford, 21.01.2022, INDE,3 616 €,,0,0,,
Laura,Skoda, 21.01.2022, INDE,2 637 €,,0,0,,
Pajero,Mitsubishi, 21.01.2022, INDE,16 688 €,,0,0,,
Laura,Skoda, 21.01.2022, INDE,3 004 €,,0,0,,
Indigo,Tata, 21.01.2022, INDE,3 115 €,,0,0,,
Linea,Fiat, 21.01.2022, INDE,4 728 €,,0,0,,
Linea,Fiat, 21.01.2022, INDE,3 616 €,,0,0,,
Indica,Tata, 21.01.2022, INDE,2 003 €,,0,0,,
Xylo,Mahindra, 21.01.2022, INDE,3 338 €,,0,0,,
Indigo,Tata, 21.01.2022, INDE,1 446 €,,0,0,,
Superb,Skoda, 21.01.2022, INDE,4 450 €,,0,0,,
Santro,Hyundai, 21.01.2022, INDE,890 €,,0,0,,
Endeavour,Ford, 21.01.2022, INDE,12 238 €,,0,0,,
Thar,Mahindra, 21.01.2022, INDE,8 900 €,,0,0,,
Laura,Skoda, 21.01.2022, INDE,3 783 €,,0,0,,
Corolla,Toyota, 21.01.2022, INDE,5 307 €,,0,0,,
Fiesta,Ford, 21.01.2022, INDE,4 728 €,,0,0,,
Innova,Toyota, 21.01.2022, INDE,12 905 €,,0,0,,
Etios,Toyota, 21.01.2022, INDE,3 449 €,,0,0,,
Nano,Tata, 21.01.2022, INDE,723 €,,0,0,,
Terrano,Nissan, 21.01.2022, INDE,11 014 €,,0,0,,
Classe a,Mercedes, 21.01.2022, INDE,30 038 €,,0,0,,
Yeti,Skoda, 21.01.2022, INDE,8 344 €,,0,0,,
Laura,Skoda, 21.01.2022, INDE,5 340 €,,0,0,,
Indigo,Tata, 21.01.2022, INDE,3 906 €,,0,0,,
Fiesta,Ford, 21.01.2022, INDE,3 616 €,ESSENCE,58 000 KM,2006,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,2 637 €,DIESEL,69 000 KM,2007,MANUELLE,-
Pajero,Mitsubishi, 21.01.2022, INDE,16 688 €,DIESEL,61 000 KM,2008,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,3 004 €,DIESEL,120 000 KM,2007,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,3 115 €,DIESEL,70 000 KM,2011,MANUELLE,-
Linea,Fiat, 21.01.2022, INDE,4 728 €,ESSENCE,27 000 KM,2012,MANUELLE,-
Linea,Fiat, 21.01.2022, INDE,3 616 €,DIESEL,83 000 KM,2010,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,2 003 €,DIESEL,500 000 KM,2004,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,3 338 €,DIESEL,85 000 KM,2009,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,1 446 €,DIESEL,76 000 KM,2005,MANUELLE,-
Superb,Skoda, 21.01.2022, INDE,4 450 €,DIESEL,92 000 KM,2008,AUTOMATIQUE,-
Santro,Hyundai, 21.01.2022, INDE,890 €,ESSENCE,85 000 KM,2003,MANUELLE,-
Endeavour,Ford, 21.01.2022, INDE,12 238 €,DIESEL,83 000 KM,2011,MANUELLE,-
Thar,Mahindra, 21.01.2022, INDE,8 900 €,DIESEL,30 898 KM,2015,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,3 783 €,DIESEL,96 000 KM,2007,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,5 307 €,ESSENCE,95 759 KM,2010,MANUELLE,-
Fiesta,Ford, 21.01.2022, INDE,4 728 €,DIESEL,87 000 KM,2012,MANUELLE,-
Innova,Toyota, 21.01.2022, INDE,12 905 €,DIESEL,80 109 KM,2012,MANUELLE,-
Etios,Toyota, 21.01.2022, INDE,3 449 €,ESSENCE,57 000 KM,2012,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,723 €,ESSENCE,23 000 KM,2012,MANUELLE,-
Terrano,Nissan, 21.01.2022, INDE,11 014 €,DIESEL,50 293 KM,2015,MANUELLE,-
Classe a,Mercedes, 21.01.2022, INDE,30 038 €,DIESEL,18 000 KM,2015,AUTOMATIQUE,-
Yeti,Skoda, 21.01.2022, INDE,8 344 €,DIESEL,94 000 KM,2012,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,5 340 €,DIESEL,113 000 KM,2009,AUTOMATIQUE,-
Indigo,Tata, 21.01.2022, INDE,3 906 €,DIESEL,23 128 KM,2014,MANUELLE,-
Manza,Tata, 21.01.2022, INDE,3 338 €,DIESEL,59 800 KM,2012,MANUELLE,-
Serie 3,Bmw, 21.01.2022, INDE,10 013 €,DIESEL,87 000 KM,2008,AUTOMATIQUE,-
Corolla,Toyota, 21.01.2022, INDE,5 240 €,ESSENCE,34 828 KM,2010,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,2 225 €,DIESEL,95 000 KM,2004,MANUELLE,-
Verito,Mahindra, 21.01.2022, INDE,3 616 €,DIESEL,54 700 KM,2012,MANUELLE,-
Etios,Toyota, 21.01.2022, INDE,4 450 €,ESSENCE,38 744 KM,2011,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,5 006 €,ESSENCE,38 845 KM,2010,MANUELLE,-
Thar,Mahindra, 21.01.2022, INDE,6 953 €,DIESEL,54 000 KM,2011,MANUELLE,-
Cr-v,Honda, 21.01.2022, INDE,7 231 €,ESSENCE,50 000 KM,2007,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,4 116 €,ESSENCE,90 171 KM,2010,MANUELLE,-
Xuv500,Mahindra, 21.01.2022, INDE,11 125 €,DIESEL,5 900 KM,2016,MANUELLE,-
Serie 5,Bmw, 21.01.2022, INDE,22 250 €,DIESEL,54 000 KM,2011,AUTOMATIQUE,-
Safari,Tata, 21.01.2022, INDE,4 394 €,DIESEL,78 000 KM,2009,MANUELLE,-
Linea,Fiat, 21.01.2022, INDE,4 450 €,DIESEL,58 000 KM,2012,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,2 114 €,ESSENCE,112 573 KM,2003,AUTOMATIQUE,-
Bolero,Mahindra, 21.01.2022, INDE,6 675 €,DIESEL,45 000 KM,2010,MANUELLE,-
Endeavour,Ford, 21.01.2022, INDE,11 125 €,DIESEL,85 000 KM,2011,-,-
Safari,Tata, 21.01.2022, INDE,3 783 €,DIESEL,90 000 KM,2009,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,4 617 €,DIESEL,90 000 KM,2008,MANUELLE,-
Amaze,Honda, 21.01.2022, INDE,6 786 €,ESSENCE,52 741 KM,2014,MANUELLE,-
Indica vista,Tata, 21.01.2022, INDE,2 503 €,DIESEL,29 000 KM,2011,MANUELLE,-
Bolero,Mahindra, 21.01.2022, INDE,6 119 €,DIESEL,50 000 KM,2015,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,3 894 €,DIESEL,150 000 KM,2012,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,5 006 €,ESSENCE,60 000 KM,2009,-,-
Corolla,Toyota, 21.01.2022, INDE,5 284 €,ESSENCE,73 000 KM,2009,-,-
Serie 5 gt,Bmw, 21.01.2022, INDE,22 250 €,DIESEL,25 000 KM,2013,MANUELLE,-
Sonata,Hyundai, 21.01.2022, INDE,6 397 €,ESSENCE,112 000 KM,2011,MANUELLE,-
Figo,Ford, 21.01.2022, INDE,2 781 €,DIESEL,53 000 KM,2010,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,3 671 €,DIESEL,145 555 KM,2012,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,779 €,ESSENCE,17 000 KM,2012,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,801 €,ESSENCE,14 600 KM,2012,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,4 561 €,ESSENCE,83 321 KM,2009,MANUELLE,-
Endeavour,Ford, 21.01.2022, INDE,11 125 €,DIESEL,75 000 KM,2012,AUTOMATIQUE,-
Etios,Toyota, 21.01.2022, INDE,3 894 €,ESSENCE,39 000 KM,2011,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,5 507 €,ESSENCE,64 446 KM,2009,-,-
