modele,date_loc,info
"['', '                    ', '                        AudiQ7V6 3.0QUATTRO                    ', '', '                        ', '                        ', '', '                            ', '                        ', '                                                ', '', '                              34 400 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        RenaultMeganeE-techTECHNO                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            35 900', '                        ', '                        ', '                                                ', '', '                              34 900 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        LadaNiva1.7TAIGA4X4                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            12 990', '                        ', '                        ', '                                                ', '', '                              9 950 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        SkodaFabia combi1.4AMBIENTE                    ', '', '                        ', '                        ', '', '                            ', '                        ', '                                                ', '', '                              3 300 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        MercedesSprinter                    ', '', '                        ', '                        ', '', '                            ', '                        ', '                                                ', '', '                              19 500 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        VolkswagenGolf1.2                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            5 699', '                        ', '                        ', '                                                ', '', '                              5 000 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        BmwSerie 3 touring320                    ', '', '                        ', '                        ', '', '                            ', '                        ', '                                                ', '', '                              10 500 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        VolkswagenGolf1.2TRENDLINE                    ', '', '                        ', '                        ', '', '                            ', '                        ', '                                                ', '', '                              5 600 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        Peugeot206 cc                    ', '', '                        ', '                        ', '', '                            ', '                        ', '                                                ', '', '                              2 700 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        FordTransit2.2LIMITED                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            10 900', '                        ', '                        ', '                                                ', '', '                              4 900 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        FordTransitVan2.2LIMITED                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            10 900', '                        ', '                        ', '                                                ', '', '                              4 900 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        VolkswagenGolf1.6CONFORTLINE                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            16 690', '                        ', '                        ', '                                                ', '', '                              15 900 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        VolkswagenGolf1.6CONFORTLINE                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            16 900', '                        ', '                        ', '                                                ', '', '                              15 899 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        VolkswagenPassat variant2.0TRENDLINE                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            16 900', '                        ', '                        ', '                                                ', '', '                              14 999 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        SuzukiCelerio1.0                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            6 900', '                        ', '                        ', '                                                ', '', '                              6 700 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        NissanX-trail1.6TEKNA4X4                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            18 900', '                        ', '                        ', '                                                ', '', '                              15 250 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        NissanQashqai1.3VISIA                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            16 999', '                        ', '                        ', '                                                ', '', '                              15 999 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        HyundaiTucson1.6TREND                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            20 250', '                        ', '                        ', '                                                ', '', '                              18 999 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        HyundaiI301.4                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            15 600', '                        ', '                        ', '                                                ', '', '                              14 999 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        NissanX-trailX                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            19 390', '                        ', '                        ', '                                                ', '', '                              18 499 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        MercedesClasse e220 e                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            19 500', '                        ', '                        ', '                                                ', '', '                              18 500 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        BmwSerie 7740                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            17 500', '                        ', '                        ', '                                                ', '', '                              16 900 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        FiatPanda                    ', '', '                        ', '                        ', '', '                            ', '                        ', '                                                ', '', '                              1 200 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
"['', '                    ', '                        BmwSerie 11202.0EDITION AVANTAGE                    ', '', '                        ', '                        ', '', '                            ', '                                                ', '                            prix initial : ', '                            18 450', '                        ', '                        ', '                                                ', '', '                              17 499 €  ', '                      ', '                        ', '', '                                                                                                                                                                    ', '', '                    ']",,
