Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Golf,Volkswagen, 03.11.2023, POLOGNE,942 €,DIESEL,38 000 KM,2000,MANUELLE,16-500
Talisman,Renault, 06.11.2023, POLOGNE,16 718 €,ESSENCE,132 893 KM,2018,AUTOMATIQUE,16-500
Mini,Mini, 06.11.2023, POLOGNE,4 039 €,ESSENCE,228 000 KM,2009,MANUELLE,16-500
Kuga,Ford, 10.11.2023, POLOGNE,15 035 €,ESSENCE,66 000 KM,2017,MANUELLE,16-500
Serie 3,Bmw, 14.11.2023, POLOGNE,3 815 €,ESSENCE,320 000 KM,2005,MANUELLE,16-500
Brz,Subaru, 14.11.2023, POLOGNE,17 952 €,ESSENCE,139 000 KM,2017,MANUELLE,16-500
Celica,Toyota, 21.11.2023, POLOGNE,3 366 €,ESSENCE,263 000 KM,1992,MANUELLE,16-500
Galaxy,Ford, 21.11.2023, POLOGNE,1 414 €,GPL,333 000 KM,1999,AUTOMATIQUE,16-500
2,Mazda, 12.11.2023, POLOGNE,3 029 €,ESSENCE,185 820 KM,2008,MANUELLE,16-506
Crosstouran,Volkswagen, 14.11.2023, POLOGNE,3 815 €,DIESEL,311 010 KM,2007,MANUELLE,16-506
Discovery,Land rover, 13.11.2023, POLOGNE,4 488 €,DIESEL,18 000 KM,1998,AUTOMATIQUE,16-406
Transporter,Volkswagen, 14.11.2023, POLOGNE,3 703 €,DIESEL,217 000 KM,1999,MANUELLE,16-406
Cr-v,Honda, 20.09.2023, POLOGNE,8 303 €,ESSENCE,324 000 KM,2008,MANUELLE,16-411
Vivaro,Opel, 14.11.2023, POLOGNE,8 078 €,DIESEL,405 000 KM,2011,MANUELLE,16-411
X1,Bmw, 24.11.2023, POLOGNE,11 556 €,DIESEL,157 000 KM,2012,AUTOMATIQUE,16-411
X5,Bmw, 31.10.2023, POLOGNE,11 669 €,GPL,270 000 KM,2008,AUTOMATIQUE,16-503
Zafira,Opel, 06.11.2023, POLOGNE,3 119 €,GPL,270 000 KM,2007,MANUELLE,16-503
Panda,Fiat, 28.10.2023, POLOGNE,1 234 €,ESSENCE,125 000 KM,2005,MANUELLE,16-407
Golf,Volkswagen, 17.11.2023, POLOGNE,2 356 €,DIESEL,253 217 KM,2007,MANUELLE,16-407
6,Mazda, 18.11.2023, POLOGNE,3 927 €,DIESEL,266 000 KM,2008,MANUELLE,16-404
Insignia,Opel, 20.11.2023, POLOGNE,5 812 €,DIESEL,260 578 KM,2010,AUTOMATIQUE,16-404
A6,Audi, 24.11.2023, POLOGNE,8 752 €,DIESEL,312 000 KM,2009,AUTOMATIQUE,16-404
Mondeo,Ford, 07.06.2023, POLOGNE,18 603 €,ESSENCE,90 000 KM,2019,MANUELLE,16-326
Passat,Volkswagen, 14.11.2023, POLOGNE,3 254 €,DIESEL,367 000 KM,2009,MANUELLE,16-326
A6,Audi, 21.01.2022, POLOGNE,4 847 €,-,-,2002,-,16-400
