Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Focus,Ford, 23.10.2023, POLOGNE,6 745 €,,0,0,,
Transporter,Volkswagen, 21.12.2023, POLOGNE,5 775 €,,0,0,,
Multivan,Volkswagen, 25.12.2023, POLOGNE,35 573 €,,0,0,,
Touran,Volkswagen, 29.12.2023, POLOGNE,6 445 €,,0,0,,
Picanto,Kia, 21.01.2022, POLOGNE,3 211 €,,0,0,,
Astra,Opel, 21.01.2022, POLOGNE,1 247 €,,0,0,,
Primera,Nissan, 21.01.2022, POLOGNE,1 709 €,,0,0,,
Megane grandtour,Renault, 21.01.2022, POLOGNE,2 449 €,,0,0,,
Polo,Volkswagen, 21.01.2022, POLOGNE,1 201 €,,0,0,,
Passat,Volkswagen, 21.01.2022, POLOGNE,1 478 €,,0,0,,
Octavia combi,Skoda, 21.01.2022, POLOGNE,2 518 €,,0,0,,
Focus,Ford, 21.01.2022, POLOGNE,1 571 €,,0,0,,
Serie 1,Bmw, 29.04.2023, POLOGNE,8 755 €,,0,0,,
Impreza,Subaru, 06.11.2023, POLOGNE,1 963 €,,0,0,,
Cx-5,Mazda, 11.12.2023, POLOGNE,8 062 €,,0,0,,
Golf,Volkswagen, 16.12.2023, POLOGNE,1 686 €,,0,0,,
Classe e,Mercedes, 27.12.2023, POLOGNE,30 930 €,,0,0,,
206,Peugeot, 27.12.2023, POLOGNE,624 €,,0,0,,
Mustang,Ford, 30.12.2023, POLOGNE,7 831 €,,0,0,,
Octavia,Skoda, 03.01.2024, POLOGNE,6 352 €,,0,0,,
Golf sw,Volkswagen, 21.01.2022, POLOGNE,5 428 €,,0,0,,
Golf sw,Volkswagen, 13.12.2023, POLOGNE,6 907 €,,0,0,,
Golf,Volkswagen, 21.01.2022, POLOGNE,1 825 €,,0,0,,
Transporter,Volkswagen, 21.01.2022, POLOGNE,9 910 €,,0,0,,
Polo,Volkswagen, 21.01.2022, POLOGNE,4 273 €,,0,0,,
Sportage,Kia, 17.07.2023, POLOGNE,2 518 €,DIESEL,330 000 KM,2005,MANUELLE,74-500
Gt-86,Toyota, 25.08.2023, POLOGNE,NC,-,-,-,-,74-500
Classe cla,Mercedes, 23.09.2023, POLOGNE,29 867 €,ESSENCE,64 600 KM,2019,AUTOMATIQUE,74-500
Clio,Renault, 05.10.2023, POLOGNE,924 €,DIESEL,134 000 KM,2003,MANUELLE,74-500
Superb,Skoda, 17.10.2023, POLOGNE,15 130 €,DIESEL,161 000 KM,2019,AUTOMATIQUE,74-500
A4,Audi, 20.10.2023, POLOGNE,7 507 €,ESSENCE,2 011 KM,2011,MANUELLE,74-500
Sprinter,Mercedes, 31.10.2023, POLOGNE,20 789 €,DIESEL,266 000 KM,2013,MANUELLE,74-500
Caddy,Volkswagen, 14.11.2023, POLOGNE,21 251 €,DIESEL,131 434 KM,2018,MANUELLE,74-500
A6 allroad,Audi, 14.11.2023, POLOGNE,4 735 €,DIESEL,385 000 KM,2007,AUTOMATIQUE,74-500
