modele,prix_initial,prix_actuel,date_loc,info
CitroenId,,NC,,
NissanSkylineGt-r,,NC,,
NissanSkylineGt-r,,NC,,
NissanGt-rprix initial : 967,,138 578 €,,
BentleyArnageRlV8 6.75,,NC,,
Porsche911 997Gt2 rs,,NC,,
HondaS800,,49 630 €,,
HondaS800prix initial : 44 230,,NC,,
NissanSkylineGt-r,,NC,,
NissanSkylineGt-r,,NC,,
Alfa romeo8c,,NC,,
Ferrari365 gtb/4 daytonaV12 4.4,,NC,,
HondaS600,,NC,,
Ferrari575Superamerica,,NC,,
NissanSkylineGt-r,,NC,,
Mc larenP1V8 3.8,,NC,,
NissanGt-rNismo,,NC,,
LanciaFlaminiaprix initial : 320 000,,NC,,
HondaS800prix initial : 41 128,,NC,,
BentleyTurbo rprix initial : 13 786,,NC,,
NissanSkylineGt-r,,NC,,
FerrariF430 spider16mprix initial : 2 329,,333 847 €,,
LanciaDeltaEvoluzione2.0prix initial : 725,,103 934 €,,
FordSierraRs cosworthprix initial : 58 795,,54 000 €,,
Ferrari512bbprix initial : 337 286,,264 235 €, 01.04.2023 JAPONDétail,ESSENCE21 928 Km1979MANUELLE-DEVIS ASSURANCEVENDEZ
Ferrari308Gtbprix initial : 146 988,,135 000 €,,
LamborghiniMiura,,NC,,
Aston martinDb54.0,,NC,,
MorrisTenprix initial : 197,,28 346 €,,
AudiR8V10 5.2QUATTROprix initial : 3 736,,535 415 €,,
BmwSerie 3M3prix initial : 227,,32 635 €,,
Ferrari360 modenaChallengeprix initial : 637,,91 336 €,,
LotusEvija,,NC,,
FordMustangMach 1,,NC,,
Alfa romeoGiulia gtam,,NC,,
Rolls royceCullinanprix initial : 293 976,,270 000 €,,
MercedesClasse gG 63 amg,,NC,,
LamborghiniUrusprix initial : 315 289,,247 002 €,,
FordMustangShelby gt500prix initial : 153 978,,120 629 €,,
FerrariF8 tributo,,NC,,
FerrariSf90 stradaleprix initial : 517 180,,475 000 €,,
Porsche911 935,,460 053 €,,
MercedesAmg gtprix initial : 249 298,,195 304 €,,
Land roverRange rover lwbV8 5.0AWDprix initial : 165 461,,141 136 €,,
FordGtprix initial : 810 331,,950 000 €,,
Ferrari488prix initial : 1 802,,258 259 €,,
FerrariF12 tdf,,NC,,
BmwSerie 4M43.0,,127 229 €,,
FerrariJ50,,NC,,
FerrariCaliforniaprix initial : 123 682,,145 000 €, 01.04.2023 JAPONDétail,ESSENCE23 000 Km2016--DEVIS ASSURANCEVENDEZ
PorscheCarrera gtprix initial : 1 197 680,,1 100 000 €,,
LamborghiniMurcielago,,165 951 €,,
Ferrari308Gtbprix initial : 100 381,,78 366 €,,
MercedesClasse s560 selprix initial : 1 290 730,,NC,,
NissanSkylineGt-r,,NC,,
Alfa romeoGiulia gtJunior zprix initial : 355,,53 542 €,,
LanciaFulvia1.2prix initial : 212,,37 668 €,,
FordMustang,,41 488 €,,
LanciaDeltaS4,,NC,,
LamborghiniHuracanV10 5.2,,220 465 €,,
Aston martinVantage roadsterV12 5.9,,440 930 €,,
Porsche911 964Carrera rs,,NC,,
FerrariF430Novitec,,116 532 €,,
MitsubishiLancer evolutionRS,,NC,,
NissanSkylineGt-r,,NC,,
FerrariF50,,NC,,
Aston martinV8 volanteVantage,,228 654 €,,
MaseratiMc20,,176 372 €,,
LamborghiniAventadorSvV12 6.5,,650 000 €,,
LamborghiniHuracanV10 5.2STO,,330 000 €,,
Ferrari512bb,,NC,,
LamborghiniDiabloSvV12 5.7prix initial : 179 521,,175 112 €,,
MaseratiGhibli2.8,,37 038 €,,
Alfa romeoGiuliaSUPER,,33 000 €,,
Alfa romeoGiulia gtVeloce1.8VELOCE,,44 000 €, 22.09.2023 JAPONDétail,ESSENCE-1971--DEVIS ASSURANCEVENDEZ
Alfa romeoGiulia gtJunior2.0,,35 904 €,,
Ferrari296GtbV6 3.0,,340 146 €,,
LexusLfa,,NC,,
Ferrari550Maranello,,NC,,
MercedesClasse slsSls 63 amgFINAL EDITION,,NC,,
NissanGt-r,,NC,,
NissanSkylineGt-r,,NC,,
NissanGt-rNismo,,NC,,
NissanSkylineGt-r,,NC,,
NissanSkylineGt-r,,NC,,
NissanGt-rPREMIUM EDITION,,NC,,
NissanGt-rPREMIUM EDITION,,NC,,
NissanGt-rNismo,,NC,,
NissanGt-rNismo,,NC,,
NissanGt-r,,NC,,
MercedesClasse slsSls 63 amgBLACK SERIES,,566 910 €,,
Rolls royceSilver shadow,,NC,,
BentleyArnageV8 6.75,,NC,,
BentleyMulsanneV8 6.75MULLINER,,NC,,
Rolls royceCorniche,,NC,,
MercedesClasse s300 se,,NC,,
DaimlerDouble six,,NC,,
BentleyBrooklandsV8 6.75,,NC,,
BentleyTurbo r,,NC,,
Porsche911 964Carrera 2,,NC, 10.11.2023 JAPONDétail,ESSENCE75 000 Km1993AUTOMATIQUE-DEVIS ASSURANCEVENDEZ
LexusLfa,,NC,,
Porsche911 964Carrera 2,,NC,,
LamborghiniDiabloGtV12 6.0,,NC,,
Porsche911 964Carrera rs,,NC,,
Porsche911 996Gt33.6,,NC,,
LanciaDeltaIntegrale2.0,,NC,,
NissanSkyline,,79 367 €,,
LamborghiniHuracanV10 5.2,,409 435 €,,
Mc larenP1V8 3.8,,2 642 351 €,,
HondaIntegraType r,,31 019 €,,
Mc larenElva,,NC,,
Alfa romeo8c spider,,NC,,
Ferrari550Barchetta,,425 074 €,,
LamborghiniCentenario,,NC,,
Mc larenSennaV8 4.0prix initial : 1 751 705,,1 672 417 €,,
NissanSkylineGt-r,,NC,,
Aston martinV12 speedsterV12 5.2,,NC,,
MazdaMx5,,34 465 €,,
Ferrari360 modena,,NC,,
Ferrari575Superamerica,,NC,,
MercedesAmg gtRV8 4.0BLACK SERIES,,NC,,
Porsche918 spyder,,NC,,
PorscheCarrera gt,,NC,,
Mc laren675ltV8 3.8,,264 235 €,,
Ferrari575Maranello,,275 724 €, 29.10.2022 CHINEDétail,ESSENCE42 969 Km2004MANUELLE-DEVIS ASSURANCEVENDEZ
LanciaFulvia1.6,,60 889 €,,
Ferrari599Gtbprix initial : 99 720,,80 190 €,,
MonoBac2.5,,141 308 €,,
FerrariLaferrari,,3 618 871 €,,
Alfa romeo8cV8 4.7,,284 914 €,,
Rolls royceSilver spurprix initial : 29 295,,26 998 €,,
FerrariF12 tdf,,NC,,
