Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Serie 5,Bmw, 21.01.2022, POLOGNE,4 135 €,-,266 000 KM,2001,-,16-515
Baja,Subaru, 21.10.2023, POLOGNE,6 676 €,ESSENCE,170 000 KM,2005,AUTOMATIQUE,16-515
A6,Audi, 14.11.2023, POLOGNE,1 478 €,DIESEL,347 000 KM,2001,MANUELLE,16-515
L200,Mitsubishi, 22.12.2023, POLOGNE,3 696 €,DIESEL,422 000 KM,1999,MANUELLE,16-515
A6,Audi, 23.12.2023, POLOGNE,21 944 €,ESSENCE,202 000 KM,2008,AUTOMATIQUE,16-515
Qashqai,Nissan, 28.12.2023, POLOGNE,13 398 €,DIESEL,161 000 KM,2017,MANUELLE,16-515
Cerato,Kia, 28.12.2023, POLOGNE,1 709 €,DIESEL,267 750 KM,2005,MANUELLE,16-515
X1,Bmw, 31.12.2023, POLOGNE,9 009 €,DIESEL,231 000 KM,2012,MANUELLE,16-515
Q7,Audi, 01.01.2024, POLOGNE,8 893 €,DIESEL,280 000 KM,2007,AUTOMATIQUE,16-515
A6,Audi, 21.01.2022, POLOGNE,3 580 €,-,230 000 KM,2003,-,16-500
Serie 5,Bmw, 21.01.2022, POLOGNE,3 580 €,-,249 000 KM,2002,-,16-500
626,Mazda, 21.01.2022, POLOGNE,1 732 €,ESSENCE,150 000 KM,1998,-,16-500
Zafira,Opel, 21.01.2022, POLOGNE,2 310 €,-,203 631 KM,2000,-,16-500
Yaris,Toyota, 21.01.2022, POLOGNE,2 194 €,-,185 553 KM,2000,-,16-500
Avensis break,Toyota, 21.01.2022, POLOGNE,6 699 €,-,179 500 KM,2006,-,16-500
Xsara picasso,Citroen, 21.01.2022, POLOGNE,2 033 €,-,165 000 KM,2001,-,16-500
Maverick,Ford, 29.04.2023, POLOGNE,2 633 €,DIESEL,250 451 KM,1996,MANUELLE,16-500
V8,Audi, 18.07.2023, POLOGNE,6 930 €,ESSENCE,372 000 KM,1996,MANUELLE,16-500
Forester,Subaru, 02.10.2023, POLOGNE,15 014 €,ESSENCE,116 000 KM,2017,AUTOMATIQUE,16-500
Espace,Renault, 15.10.2023, POLOGNE,2 308 €,DIESEL,350 000 KM,2006,MANUELLE,16-500
