Titre,motclé,date,upper,information,information6,information7,information8
"
                            prix initial : 
                            16 900
                        ","CITROEN
JUMPY
2.0", 21/02/2022, LETTONIE,DIESEL,216 000 KM,2019,AUTOMATIQUE
"

                              5 999 €  ","CITROEN
C-CROSSER
2.2", 21/03/2022, LETTONIE,DIESEL,-,2012,MANUELLE
"

                              8 500 €  ","CITROEN
C4 PICASSO
1.6", 21/01/2022, LETTONIE,DIESEL,125 000 KM,2016,MANUELLE
"
                            prix initial : 
                            29 900
                        ","CITROEN
JUMPY", 21/02/2022, LETTONIE,DIESEL,-,2022,MANUELLE
"
                            prix initial : 
                            14 900
                        ","CITROEN
C4 PICASSO
2.0", 21/04/2022, LETTONIE,DIESEL,180 000 KM,2017,MANUELLE
"

                              28 000 €  ","CITROEN
JUMPY
2.0", 21/03/2022, LETTONIE,DIESEL,103 446 KM,2018,AUTOMATIQUE
"
                            prix initial : 
                            34 300
                        ","AUDI
Q7
V6 3.0", 21/02/2022, LETTONIE,DIESEL,187 000 KM,2017,AUTOMATIQUE
"
                            prix initial : 
                            2 900
                        ","VOLVO
V70
2.4", 21/03/2022, LETTONIE,DIESEL,290 593 KM,2002,MANUELLE
"
                            prix initial : 
                            36 900
                        ","PORSCHE
CAYENNE
SV6 3.0", 21/03/2022, LETTONIE,DIESEL,203 000 KM,2015,AUTOMATIQUE
"
                            prix initial : 
                            39 900
                        ","PORSCHE
MACAN
SV6 3.0", 20/01/2022, LETTONIE,DIESEL,130 000 KM,2017,AUTOMATIQUE
"

                              5 100 €  ","JEEP
COMPASS
2.0", 21/02/2022, LETTONIE,DIESEL,230 000 KM,2007,MANUELLE
"

                              3 499 €  ","OPEL
VIVARO
1.9", 21/01/2022, LETTONIE,DIESEL,280 832 KM,2006,MANUELLE
"
                            prix initial : 
                            15 990
                        ","NISSAN
PATROL", 21/01/2022, LETTONIE,DIESEL,205 000 KM,2003,AUTOMATIQUE
"

                              10 750 €  ","HYUNDAI
IX35
2.0", 21/03/2022, LETTONIE,DIESEL,-,2014,MANUELLE
"

                              3 900 €  ","OPEL
INSIGNIA
2.0", 15/01/2019, LETTONIE,DIESEL,310 000 KM,2012,MANUELLE
"

                              6 750 €  ","VOLVO
V70
D32.0", 21/01/2022, LETTONIE,DIESEL,238 500 KM,2011,MANUELLE
"
                            prix initial : 
                            8 790
                        ","VOLVO
S60
D32.0", 21/06/2022, LETTONIE,DIESEL,-,2011,AUTOMATIQUE
"
                            prix initial : 
                            16 250
                        ","VOLVO
XC60
2.0", 21/03/2022, LETTONIE,DIESEL,150 678 KM,2015,AUTOMATIQUE
"

                              6 990 €  ","VOLKSWAGEN
TIGUAN
2.0", 21/06/2022, LETTONIE,DIESEL,317 000 KM,2012,MANUELLE
"

                              1 099 €  ","RENAULT
SCENIC
1.9", 21/04/2022, LETTONIE,DIESEL,261 000 KM,2006,MANUELLE
"

                              6 190 €  ","FORD
FIESTA
1.6", 21/01/2022, LETTONIE,ESSENCE,131 774 KM,2015,AUTOMATIQUE
"
                            prix initial : 
                            2 300
                        ","OPEL
ASTRA
1.7", 21/01/2022, LETTONIE,DIESEL,271 900 KM,2008,MANUELLE
"
                            prix initial : 
                            1 450
                        ","NISSAN
MICRA
1.2", 21/06/2022, LETTONIE,ESSENCE,235 391 KM,2004,MANUELLE
"

                              10 850 €  ","KIA
SPORTAGE
1.7", 21/02/2022, LETTONIE,DIESEL,225 000 KM,2014,MANUELLE
"

                              26 790 €  ","NISSAN
JUKE
1.0", 21/06/2022, LETTONIE,ESSENCE,1 000 KM,2023,AUTOMATIQUE
"

                              3 550 €  ","RENAULT
LAGUNA
2.0", 21/02/2022, LETTONIE,DIESEL,-,2011,AUTOMATIQUE
"

                              3 700 €  ","HYUNDAI
TUCSON
2.04X4", 15/01/2019, LETTONIE,DIESEL,161 000 KM,2005,AUTOMATIQUE
PRIX INITIAL : 6 600,"RENAULT
TRAFIC
2.0", 21/03/2022, LETTONIE,DIESEL,276 545 KM,2012,MANUELLE
PRIX INITIAL : 27 990,"TOYOTA
LAND CRUISER
3.0", 21/03/2022, LETTONIE,DIESEL,322 551 KM,2014,AUTOMATIQUE
PRIX INITIAL : 3 500,"OPEL
VECTRA
1.9", 21/01/2022, LETTONIE,DIESEL,204 000 KM,2007,MANUELLE
PRIX INITIAL : 10 300,"TOYOTA
AURIS
1.6", 21/01/2022, LETTONIE,ESSENCE,118 000 KM,2016,MANUELLE
"

                              10 500 €  ","KIA
SPORTAGE
1.7", 21/01/2022, LETTONIE,DIESEL,200 890 KM,2014,MANUELLE
PRIX INITIAL : 3 900,"VOLVO
V70
2.4", 21/01/2022, LETTONIE,DIESEL,320 000 KM,2008,AUTOMATIQUE
"

                              32 800 €  ","OPEL
ASTRA
PHEV1.6", 21/01/2022, LETTONIE,HYBRIDE,23 500 KM,2022,AUTOMATIQUE
"

                              11 800 €  ","OPEL
INSIGNIA
1.6", 15/01/2019, LETTONIE,DIESEL,-,2019,MANUELLE
"

                              4 490 €  ","OPEL
INSIGNIA
2.0", 21/06/2022, LETTONIE,DIESEL,333 000 KM,2009,AUTOMATIQUE
"

                              2 500 €  ","VOLVO
S60
D52.4", 21/02/2022, LETTONIE,DIESEL,375 411 KM,2004,AUTOMATIQUE
PRIX INITIAL : 59 990,"TOYOTA
LAND CRUISER
2.8", 21/02/2022, LETTONIE,DIESEL,5 700 KM,2018,MANUELLE
"

                              74 500 €  ","BMW
X6
M50I", 21/01/2022, LETTONIE,ESSENCE,-,2021,AUTOMATIQUE
PRIX INITIAL : 3 400,"BMW
SERIE 3
3202.0", 21/01/2022, LETTONIE,DIESEL,346 346 KM,2004,MANUELLE
PRIX INITIAL : 12 350,"OPEL
VIVARO
1.6", 21/03/2022, LETTONIE,DIESEL,201 900 KM,2018,MANUELLE
"

                              4 900 €  ","VOLKSWAGEN
CADDY
1.6", 21/01/2022, LETTONIE,DIESEL,294 450 KM,2013,MANUELLE
