Titre,motclé,prix2,date,upper,information,information7,information8
189 000 KM,"CITROEN
DS21","

                              18 014 €  ", 11/09/2021, PEROU,ESSENCE,1969,AUTOMATIQUE
65 000 KM,"FIAT
PUNTO
1.4","

                              6 789 €  ", 21/01/2022, PEROU,-,2016,MANUELLE
72 589 KM,"FORD
ECOSPORT
1.6","

                              14 937 €  ", 19/02/2022, PEROU,ESSENCE,2016,MANUELLE
88 025 KM,"VOLKSWAGEN
AMAROK
2.0","

                              24 351 €  ", 24/04/2022, PEROU,DIESEL,2018,MANUELLE
166 000 KM,"SSANGYONG
ACTYON
2.3","

                              7 242 €  ", 30/04/2022, PEROU,ESSENCE,2012,MANUELLE
98 425 KM,"BMW
X1
2.0","

                              18 014 €  ", 06/05/2022, PEROU,ESSENCE,2014,AUTOMATIQUE
21 877 KM,"KIA
MOHAVE","

                              22 541 €  ", 11/05/2022, PEROU,ESSENCE,2018,AUTOMATIQUE
75 111 KM,"HONDA
PILOT
V6 3.5","

                              30 326 €  ", 14/05/2022, PEROU,ESSENCE,2018,AUTOMATIQUE
54 483 KM,"NISSAN
X-TRAIL
X","

                              20 368 €  ", 19/05/2022, PEROU,ESSENCE,2019,AUTOMATIQUE
143 676 KM,"VOLKSWAGEN
AMAROK
2.0","

                              17 109 €  ", 24/05/2022, PEROU,DIESEL,2015,MANUELLE
9 000 KM,"BMW
SERIE 5
M5","

                              49 336 €  ", 31/05/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
123 418 KM,"TOYOTA
RAV4","

                              18 920 €  ", 31/05/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
110 948 KM,"VOLKSWAGEN
AMAROK
2.0","

                              18 014 €  ", 31/05/2022, PEROU,DIESEL,2015,MANUELLE
17 000 KM,"SUZUKI
ERTIGA
GL",, 06/06/2022, PEROU,ESSENCE,2021,MANUELLE
180 000 KM,"PEUGEOT
PARTNER
1.9",, 11/06/2022, PEROU,DIESEL,2007,MANUELLE
1 264 KM,"SUZUKI
ERTIGA
GL","

                              18 105 €  ", 15/06/2022, PEROU,ESSENCE,2022,MANUELLE
41 000 KM,"TOYOTA
RAV4
2.4GX",, 18/06/2022, PEROU,ESSENCE,2013,AUTOMATIQUE
49 728 KM,"MITSUBISHI
MONTERO
V6 3.0ES SPORT","

                              26 705 €  ", 19/06/2022, PEROU,-,2017,AUTOMATIQUE
93 000 KM,"VOLKSWAGEN
BORA
2.0TRENDLINE",, 23/06/2022, PEROU,ESSENCE,2010,AUTOMATIQUE
42 640 KM,"VOLKSWAGEN
JETTA
1.4","

                              15 842 €  ", 25/06/2022, PEROU,ESSENCE,2019,AUTOMATIQUE
13 600 KM,"SUZUKI
VITARA
1.6GL",, 27/06/2022, PEROU,ESSENCE,2020,MANUELLE
106 000 KM,"BMW
SERIE 3
3202.0","

                              13 941 €  ", 28/06/2022, PEROU,ESSENCE,2014,AUTOMATIQUE
862 628 KM,"TOYOTA
HILUX
4X2",, 28/06/2022, PEROU,ESSENCE,1988,MANUELLE
37 000 KM,"SSANGYONG
MUSSO",, 04/07/2022, PEROU,DIESEL,2021,MANUELLE
112 000 KM,"TOYOTA
HILUX
V6 3.04X4",, 04/07/2022, PEROU,DIESEL,2017,MANUELLE
100 000 KM,"NISSAN
FRONTIER
2.5",, 04/07/2022, PEROU,DIESEL,2015,MANUELLE
91 000 KM,"TOYOTA
PRADO
V6 4.0L",, 07/07/2022, PEROU,ESSENCE,2015,AUTOMATIQUE
87 001 KM,"MITSUBISHI
OUTLANDER","

                              14 937 €  ", 09/07/2022, PEROU,ESSENCE,2015,AUTOMATIQUE
47 780 KM,"JEEP
CHEROKEE
LONGITUDE","

                              16 747 €  ", 09/07/2022, PEROU,ESSENCE,2015,AUTOMATIQUE
60 000 KM,"CHANGAN
CS75",, 14/07/2022, PEROU,ESSENCE,2018,MANUELLE
90 293 KM,"NISSAN
X-TRAIL
X","

                              15 842 €  ", 19/07/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
22 871 KM,"MITSUBISHI
OUTLANDER
2.0","

                              22 179 €  ", 20/07/2022, PEROU,ESSENCE,2020,MANUELLE
44 451 KM,"HAVAL
H6","

                              15 842 €  ", 23/07/2022, PEROU,ESSENCE,2018,AUTOMATIQUE
78 000 KM,"GREAT WALL MOTORS
HOVER
2.4",, 26/07/2022, PEROU,ESSENCE,2013,MANUELLE
39 888 KM,"MITSUBISHI
L200","

                              18 014 €  ", 02/08/2022, PEROU,DIESEL,2019,MANUELLE
37 500 KM,"VOLVO
XC40
T52.0R DESIGN","

                              36 210 €  ", 05/08/2022, PEROU,ESSENCE,2019,AUTOMATIQUE
127 249 KM,"TOYOTA
RAV4
2.04X2",, 09/08/2022, PEROU,ESSENCE,2007,MANUELLE
77 400 KM,"VOLVO
S60
T52.0",, 14/08/2022, PEROU,ESSENCE,2005,AUTOMATIQUE
99 828 KM,"TOYOTA
RAV4","

                              20 006 €  ", 15/08/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
194 000 KM,"NISSAN
TERRANO
SPORT",, 17/08/2022, PEROU,ESSENCE,2002,MANUELLE
70 000 KM,"RENAULT
LOGAN
1.6LIFE",, 19/08/2022, PEROU,ESSENCE,2020,MANUELLE
67 219 KM,"VOLKSWAGEN
AMAROK
2.0","

                              18 920 €  ", 23/08/2022, PEROU,DIESEL,2016,MANUELLE
110 591 KM,"HONDA
PILOT
V6 3.5","

                              24 894 €  ", 23/08/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
52 000 KM,"VOLKSWAGEN
BORA
2.0TRENDLINE",, 23/08/2022, PEROU,ESSENCE,2012,MANUELLE
12 000 KM,"SOUEAST
DX3",, 24/08/2022, PEROU,ESSENCE,2020,MANUELLE
50 000 KM,"SUBARU
LEGACY
2.0",, 24/08/2022, PEROU,ESSENCE,2010,MANUELLE
51 040 KM,"NISSAN
X-TRAIL
X","

                              23 084 €  ", 26/08/2022, PEROU,ESSENCE,2019,AUTOMATIQUE
48 200 KM,"SUZUKI
GRAND VITARA
1.6",, 31/08/2022, PEROU,ESSENCE,2017,MANUELLE
90 000 KM,"NISSAN
QASHQAI
2.0TEKNA",, 01/09/2022, PEROU,ESSENCE,2014,AUTOMATIQUE
140 000 KM,"NISSAN
QASHQAI
2.0",, 01/09/2022, PEROU,ESSENCE,2011,MANUELLE
68 800 KM,"CHEVROLET
CAPTIVA
V6 2.4","

                              11 044 €  ", 04/09/2022, PEROU,ESSENCE,2012,MANUELLE
73 000 KM,"NISSAN
FRONTIER
2.5SE",, 10/09/2022, PEROU,DIESEL,2020,MANUELLE
87 000 KM,"TOYOTA
COROLLA
1.6",, 15/09/2022, PEROU,ESSENCE,2014,MANUELLE
67 500 KM,"SUBARU
XV
2.0",, 15/09/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
100 000 KM,"MITSUBISHI
MONTERO
V6 3.2",, 15/09/2022, PEROU,DIESEL,1993,AUTOMATIQUE
165 000 KM,"RENAULT
MASTER
2.3",, 18/09/2022, PEROU,DIESEL,2015,MANUELLE
44 000 KM,"AUDI
A6
S6QUATTRO","

                              38 020 €  ", 19/09/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
104 000 KM,"SUZUKI
SWIFT
1.3",, 19/09/2022, PEROU,ESSENCE,2007,MANUELLE
53 000 KM,"VOLKSWAGEN
GOL
1.6",, 19/09/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
73 407 KM,"NISSAN
X-TRAIL
X","

                              16 204 €  ", 21/09/2022, PEROU,ESSENCE,2015,AUTOMATIQUE
80 000 KM,"KIA
OPTIMA
2.0","

                              8 057 €  ", 21/09/2022, PEROU,-,2009,AUTOMATIQUE
37 043 KM,"KIA
SPORTAGE
2.0","

                              18 920 €  ", 21/09/2022, PEROU,ESSENCE,2017,MANUELLE
10 078 KM,"MITSUBISHI
ECLIPSE CROSS","

                              25 800 €  ", 22/09/2022, PEROU,ESSENCE,2022,AUTOMATIQUE
92 000 KM,"RENAULT
DUSTER
2.0DYNAMIQUE",, 27/09/2022, PEROU,ESSENCE,2013,MANUELLE
76 643 KM,"MAZDA
CX-5
2.0","

                              19 463 €  ", 28/09/2022, PEROU,ESSENCE,2019,MANUELLE
11 500 KM,"VOLVO
XC40
T42.0MOMENTUM",, 28/09/2022, PEROU,ESSENCE,2021,AUTOMATIQUE
46 500 KM,"SUBARU
XV
2.0",, 28/09/2022, PEROU,ESSENCE,2019,AUTOMATIQUE
103 000 KM,"MITSUBISHI
MONTERO
ES SPORT","

                              15 299 €  ", 29/09/2022, PEROU,GPL,2014,AUTOMATIQUE
203 000 KM,"HYUNDAI
SONATA
2.0GL",, 01/10/2022, PEROU,ESSENCE,2004,AUTOMATIQUE
13 000 KM,"TOYOTA
RUSH
1.5",, 01/10/2022, PEROU,ESSENCE,2021,MANUELLE
53 000 KM,"SUBARU
XV
2.0",, 01/10/2022, PEROU,ESSENCE,2014,MANUELLE
145 000 KM,"HYUNDAI
TERRACAN
V6 2.9",, 01/10/2022, PEROU,ESSENCE,2004,-
57 000 KM,"HYUNDAI
TUCSON
2.0GL4X2",, 02/10/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
60 000 KM,"TOYOTA
RAV4
2.04X2",, 02/10/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
28 000 KM,"MERCEDES
GLE 43 AMG","

                              57 031 €  ", 03/10/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
95 655 KM,"VOLKSWAGEN
GOLF
GTI2.0","

                              14 393 €  ", 04/10/2022, PEROU,ESSENCE,2011,AUTOMATIQUE
540 660 KM,"CHEVROLET
OPTRA
1.6",, 05/10/2022, PEROU,ESSENCE,2010,MANUELLE
180 000 KM,"HONDA
ACCORD
2.2EX",, 05/10/2022, PEROU,ESSENCE,1995,-
114 000 KM,"VOLKSWAGEN
TOUAREG
V6 3.0",, 05/10/2022, PEROU,ESSENCE,2006,AUTOMATIQUE
47 000 KM,"CHERY
TIGGO
1.5",, 06/10/2022, PEROU,ESSENCE,2020,MANUELLE
61 000 KM,"PORSCHE
CAYENNE
S","

                              23 265 €  ", 06/10/2022, PEROU,ESSENCE,2012,AUTOMATIQUE
74 671 KM,"TOYOTA
HILUX
DOUBLE CABINE2.4S4X4",, 06/10/2022, PEROU,ESSENCE,2017,-
124 700 KM,"DAIHATSU
TERIOS
1.5",, 06/10/2022, PEROU,ESSENCE,2013,MANUELLE
41 352 KM,"NISSAN
PATHFINDER
V6 3.5","

                              18 014 €  ", 06/10/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
8 774 KM,"HONDA
WR-V
1.5LX",, 10/10/2022, PEROU,ESSENCE,2020,AUTOMATIQUE
144 000 KM,"BMW
X5
30D3.0","

                              15 389 €  ", 11/10/2022, PEROU,DIESEL,2013,AUTOMATIQUE
69 000 KM,"PEUGEOT
5008
1.6ALLURE",, 11/10/2022, PEROU,ESSENCE,2012,AUTOMATIQUE
90 000 KM,"NISSAN
TIIDA
1.6CONFORT",, 11/10/2022, PEROU,ESSENCE,2010,MANUELLE
120 000 KM,"KIA
RIO
1.4EX",, 11/10/2022, PEROU,ESSENCE,2017,MANUELLE
51 475 KM,"CHEVROLET
N-300
BASE",, 11/10/2022, PEROU,ESSENCE,2020,MANUELLE
63 600 KM,"KIA
SORENTO
2.4EX",, 11/10/2022, PEROU,ESSENCE,2015,AUTOMATIQUE
55 000 KM,"MERCEDES
CLASSE S
S 320",, 12/10/2022, PEROU,ESSENCE,2010,-
52 000 KM,"VOLVO
262","

                              11 678 €  ", 13/10/2022, PEROU,ESSENCE,1981,AUTOMATIQUE
154 000 KM,"KIA
CERATO
1.6EX",, 13/10/2022, PEROU,ESSENCE,2012,MANUELLE
31 500 KM,"SUZUKI
SWIFT
1.2GL",, 14/10/2022, PEROU,ESSENCE,2020,MANUELLE
160 000 KM,"JEEP
GRAND CHEROKEE
V8 4.7LIMITED",, 14/10/2022, PEROU,ESSENCE,2007,-
12 000 KM,"LAND ROVER
RANGE ROVER VELAR
P400V6 3.0R‑DYNAMIC SEAWD",, 14/10/2022, PEROU,ESSENCE,2020,AUTOMATIQUE
68 000 KM,"AUDI
A4
1.8",, 14/10/2022, PEROU,ESSENCE,2011,AUTOMATIQUE
75 000 KM,"SUBARU
LEGACY",, 15/10/2022, PEROU,ESSENCE,2015,AUTOMATIQUE
45 000 KM,"SUZUKI
DZIRE
1.2GLX",, 15/10/2022, PEROU,ESSENCE,2019,AUTOMATIQUE
162 000 KM,"VOLVO
460",, 15/10/2022, PEROU,ESSENCE,1989,-
36 000 KM,"CHEVROLET
SAIL
LS",, 19/10/2022, PEROU,ESSENCE,2020,MANUELLE
24 000 KM,"TOYOTA
ETIOS
1.5",, 19/10/2022, PEROU,ESSENCE,2021,MANUELLE
49 000 KM,"MERCEDES
CLASSE A
A 1801.6",, 19/10/2022, PEROU,ESSENCE,2014,MANUELLE
67 000 KM,"CHEVROLET
N-300
BASE",, 19/10/2022, PEROU,ESSENCE,2018,MANUELLE
21 800 KM,"TOYOTA
COROLLA
1.8",, 19/10/2022, PEROU,ESSENCE,2005,-
118 011 KM,"HONDA
CR-V","

                              14 393 €  ", 19/10/2022, PEROU,ESSENCE,2014,AUTOMATIQUE
18 500 KM,"MAZDA
CX-3
2.0",, 20/10/2022, PEROU,ESSENCE,2018,AUTOMATIQUE
66 000 KM,"LAND ROVER
DISCOVERY
SCV6V6 3.0HSEAWD",, 20/10/2022, PEROU,ESSENCE,2016,AUTOMATIQUE
22 400 KM,"NISSAN
VERSA
1.6",, 21/10/2022, PEROU,ESSENCE,2019,MANUELLE
59 500 KM,"TOYOTA
RAV4
2.04X2",, 22/10/2022, PEROU,ESSENCE,2017,MANUELLE
89 286 KM,"KIA
CERATO
1.6EX",, 22/10/2022, PEROU,ESSENCE,2013,MANUELLE
19 500 KM,"VOLKSWAGEN
T-CROSS
1.6HIGHLINE",, 22/10/2022, PEROU,ESSENCE,2020,AUTOMATIQUE
79 000 KM,"KIA
CADENZA
EX",, 23/10/2022, PEROU,ESSENCE,2011,AUTOMATIQUE
88 000 KM,"HYUNDAI
SANTA FE
2.4GL4X2",, 24/10/2022, PEROU,ESSENCE,2010,AUTOMATIQUE
90 000 KM,"KIA
RIO
1.4SPORT",, 24/10/2022, PEROU,ESSENCE,2019,AUTOMATIQUE
33 000 KM,"MAZDA
3
2.5SPORT",, 24/10/2022, PEROU,ESSENCE,2019,MANUELLE
34 000 KM,"MAZDA
3
1.6GS",, 25/10/2022, PEROU,ESSENCE,2014,MANUELLE
70 000 KM,"HYUNDAI
ACCENT
1.4GL",, 25/10/2022, PEROU,ESSENCE,2020,MANUELLE
155 000 KM,"KIA
SORENTO
2.4EX",, 27/10/2022, PEROU,ESSENCE,2013,AUTOMATIQUE
42 042 KM,"RENAULT
DUSTER
2.0INTENS","

                              12 855 €  ", 27/10/2022, PEROU,ESSENCE,2018,MANUELLE
100 000 KM,"SSANGYONG
ACTYON
2.3",, 28/10/2022, PEROU,ESSENCE,2013,MANUELLE
2 364 KM,"SUZUKI
SWIFT
1.2",, 28/10/2022, PEROU,HYBRIDE,2022,MANUELLE
54 000 KM,"HYUNDAI
SANTA FE
2.4GL4X2",, 28/10/2022, PEROU,ESSENCE,2009,AUTOMATIQUE
120 000 KM,"HONDA
CR-V
2.4LX",, 29/10/2022, PEROU,ESSENCE,2007,AUTOMATIQUE
34 000 KM,"HYUNDAI
VERNA
1.4",, 29/10/2022, PEROU,ESSENCE,2021,MANUELLE
9 181 KM,"BMW
SERIE 3
3202.0",, 29/10/2022, PEROU,ESSENCE,2022,AUTOMATIQUE
34 874 KM,"FORD
ESCAPE
SE","

                              17 652 €  ", 30/10/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
38 900 KM,"HYUNDAI
TUCSON
2.0GL4X2",, 01/11/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
57 000 KM,"HYUNDAI
H1
2.4GL","

                              18 105 €  ", 02/11/2022, PEROU,ESSENCE,2017,MANUELLE
167 000 KM,"NISSAN
ALMERA
1.6",, 03/11/2022, PEROU,ESSENCE,2003,AUTOMATIQUE
79 000 KM,"HONDA
FIT
1.5EX","

                              21 726 €  ", 03/11/2022, PEROU,ESSENCE,2007,AUTOMATIQUE
37 000 KM,"VOLKSWAGEN
JETTA
2.0TRENDLINE",, 03/11/2022, PEROU,ESSENCE,2017,MANUELLE
100 010 KM,"HYUNDAI
TUCSON
2.0GL4X2",, 04/11/2022, PEROU,ESSENCE,2012,MANUELLE
76 000 KM,"MITSUBISHI
L200
2.5GLX",, 04/11/2022, PEROU,DIESEL,2017,MANUELLE
100 000 KM,"RENAULT
LOGAN
1.6AUTHENTIQUE",, 04/11/2022, PEROU,ESSENCE,2008,MANUELLE
39 580 KM,"MITSUBISHI
L200","

                              21 273 €  ", 04/11/2022, PEROU,DIESEL,2019,MANUELLE
116 000 KM,"CITROEN
C4
1.6",, 05/11/2022, PEROU,ESSENCE,2011,MANUELLE
194 000 KM,"FORD
RANGER
V6 3.0XLS4X4",, 05/11/2022, PEROU,DIESEL,2017,MANUELLE
161 512 KM,"TOYOTA
COROLLA
1.6",, 05/11/2022, PEROU,ESSENCE,2010,MANUELLE
134 000 KM,"GREAT WALL MOTORS
HOVER
2.0",, 07/11/2022, PEROU,ESSENCE,2013,MANUELLE
43 000 KM,"VOLKSWAGEN
JETTA
1.4","

                              17 109 €  ", 08/11/2022, PEROU,ESSENCE,2021,MANUELLE
109 000 KM,"GREAT WALL MOTORS
HOVER","

                              6 608 €  ", 08/11/2022, PEROU,ESSENCE,2007,MANUELLE
71 000 KM,"SUZUKI
VITARA
1.6GL",, 08/11/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
93 000 KM,"HYUNDAI
TUCSON
2.0GL4X2",, 08/11/2022, PEROU,ESSENCE,2015,MANUELLE
60 000 KM,"GREAT WALL MOTORS
HOVER
2.0",, 09/11/2022, PEROU,ESSENCE,2016,MANUELLE
51 000 KM,"MAZDA
CX-5
2.0GS","

                              19 010 €  ", 09/11/2022, PEROU,ESSENCE,2018,AUTOMATIQUE
20 500 KM,"TOYOTA
RAV4
2.04X2",, 10/11/2022, PEROU,ESSENCE,2017,MANUELLE
100 KM,"GEELY
COOLRAY
1.5SPORT",, 11/11/2022, PEROU,ESSENCE,2022,AUTOMATIQUE
50 000 KM,"SUZUKI
ERTIGA
GL",, 11/11/2022, PEROU,ESSENCE,2020,AUTOMATIQUE
1 568 KM,"HYUNDAI
TUCSON
1.6CONFORT",, 11/11/2022, PEROU,ESSENCE,2022,AUTOMATIQUE
79 600 KM,"SUBARU
XV
2.0",, 12/11/2022, PEROU,ESSENCE,2012,MANUELLE
65 000 KM,"TOYOTA
HILUX
2.8SR","

                              23 446 €  ", 12/11/2022, PEROU,DIESEL,2018,MANUELLE
23 600 KM,"MAZDA
CX-3
2.0",, 12/11/2022, PEROU,ESSENCE,2020,MANUELLE
58 000 KM,"MAZDA
3
1.6GS",, 14/11/2022, PEROU,ESSENCE,2016,MANUELLE
77 577 KM,"KIA
SORENTO
2.2EX","

                              21 273 €  ", 14/11/2022, PEROU,ESSENCE,2017,AUTOMATIQUE
66 600 KM,"RENAULT
DUSTER
2.0DYNAMIQUE",, 15/11/2022, PEROU,ESSENCE,2014,MANUELLE
76 000 KM,"VOLKSWAGEN
COMBI
1.6S",, 16/11/2022, PEROU,ESSENCE,1976,-
95 000 KM,"SUZUKI
GRAND VITARA
2.4",, 17/11/2022, PEROU,ESSENCE,2010,MANUELLE
79 000 KM,"TOYOTA
RAV4
2.04X2",, 17/11/2022, PEROU,ESSENCE,2015,AUTOMATIQUE
79 000 KM,"CHEVROLET
CRUZE
1.8LS",, 17/11/2022, PEROU,ESSENCE,2012,MANUELLE
180 000 KM,"TOYOTA
COROLLA
1.8","

                              13 579 €  ", 18/11/2022, PEROU,ESSENCE,2016,MANUELLE
106 000 KM,"LAND ROVER
RANGE ROVER SPORT
TDV6V6 3.0HSEAWD",, 18/11/2022, PEROU,DIESEL,2011,AUTOMATIQUE
