Titre,motclé,tag,tag1,date,upper,information,information7,information8,information9,tag12
"

                              17 139 €  ","UAZ
PATRIOT
2.7",UAZ,PATRIOT, 21/01/2022, RUSSIE,ESSENCE,26 000 KM,2014,MANUELLE,2.7
"

                              46 881 €  ","AUDI
A5
45 TFSI2.0QUATTRO",AUDI,A5, 21/01/2022, RUSSIE,ESSENCE,28 000 KM,2018,AUTOMATIQUE,45 TFSI
"

                              27 221 €  ","AUDI
Q5
45 TFSI2.0QUATTRO",AUDI,Q5, 21/01/2022, RUSSIE,ESSENCE,160 630 KM,2016,AUTOMATIQUE,45 TFSI
"

                              6 049 €  ","GAZ
69",GAZ,69, 21/01/2022, RUSSIE,ESSENCE,25 500 KM,1970,MANUELLE,
"

                              156 775 €  ","BENTLEY
BENTAYGA
V8 4.0",BENTLEY,BENTAYGA, 21/01/2022, RUSSIE,ESSENCE,20 000 KM,2018,AUTOMATIQUE,V8 4.0
"

                              43 353 €  ","AUDI
Q5
45 TFSI2.0QUATTRO",AUDI,Q5, 21/01/2022, RUSSIE,ESSENCE,77 700 KM,2017,AUTOMATIQUE,45 TFSI
"

                              35 267 €  ","AUDI
Q5
45 TFSI2.0QUATTRO",AUDI,Q5, 21/02/2022, RUSSIE,ESSENCE,67 943 KM,2018,AUTOMATIQUE,45 TFSI
"

                              20 154 €  ","BENTLEY
CONTINENTAL FLYING SPUR
W12 6.0",BENTLEY,CONTINENTAL FLYING SPUR, 21/06/2022, RUSSIE,ESSENCE,55 000 KM,2006,AUTOMATIQUE,W12 6.0
"

                              25 205 €  ","AUDI
A6
2.0",AUDI,A6, 10/01/2022, RUSSIE,ESSENCE,79 000 KM,2013,AUTOMATIQUE,2.0
"

                              45 369 €  ","AUDI
A4
2.0QUATTRO",AUDI,A4, 19/01/2022, RUSSIE,ESSENCE,18 000 KM,2019,AUTOMATIQUE,2.0
"

                              8 368 €  ","UAZ
PATRIOT
2.7",UAZ,PATRIOT, 06/04/2022, RUSSIE,ESSENCE,87 000 KM,2017,MANUELLE,2.7
"

                              41 336 €  ","AUDI
Q5
45 TFSI2.0QUATTRO",AUDI,Q5, 13/04/2022, RUSSIE,ESSENCE,41 000 KM,2017,AUTOMATIQUE,45 TFSI
"

                              16 131 €  ","AUDI
Q7
QUATTRO",AUDI,Q7, 21/04/2022, RUSSIE,DIESEL,195 000 KM,2009,AUTOMATIQUE,QUATTRO
"

                              14 619 €  ","LEXUS
CT 200H1.8",LEXUS,CT 200H1.8, 21/04/2022, RUSSIE,HYBRIDE,210 000 KM,2012,AUTOMATIQUE,CT 200H
"

                              847 €  ","MOSKVICH
2141",MOSKVICH,2141, 22/04/2022, RUSSIE,ESSENCE,189 000 KM,1995,MANUELLE,
,"LEXUS
RX 270V6 2.7",LEXUS,RX 270V6 2.7, 22/04/2022, RUSSIE,ESSENCE,143 016 KM,2011,AUTOMATIQUE,RX 270
"

                              40 923 €  ","LEXUS
NX
2.0",LEXUS,NX, 22/04/2022, RUSSIE,ESSENCE,27 000 KM,2019,AUTOMATIQUE,2.0
"

                              3 680 €  ","ASIA MOTORS
ASIA ROCSTA
2.2",ASIA MOTORS,ASIA ROCSTA, 15/05/2022, RUSSIE,DIESEL,224 000 KM,1997,MANUELLE,2.2
"

                              4 033 €  ","AUDI
80
1.8QUATTRO",AUDI,80, 31/05/2022, RUSSIE,ESSENCE,120 000 KM,1988,MANUELLE,1.8
,"MOSKVICH
412",MOSKVICH,412, 10/06/2022, RUSSIE,ESSENCE,115 000 KM,1978,MANUELLE,
"

                              9 074 €  ","UAZ
PATRIOT
2.3",UAZ,PATRIOT, 20/06/2022, RUSSIE,DIESEL,115 000 KM,2007,MANUELLE,2.3
"

                              13 107 €  ","UAZ
3303
2.7",UAZ,3303, 28/06/2022, RUSSIE,ESSENCE,10 KM,2022,MANUELLE,2.7
,"AUDI
TT
2.0QUATTRO",AUDI,TT, 02/07/2022, RUSSIE,ESSENCE,97 300 KM,2014,AUTOMATIQUE,2.0
,"AUDI
A8
60 TFSIV8 4.0QUATTRO",AUDI,A8, 08/07/2022, RUSSIE,ESSENCE,7 152 KM,2020,AUTOMATIQUE,60 TFSI
,"AUDI
A4
1.8QUATTRO",AUDI,A4, 12/07/2022, RUSSIE,ESSENCE,179 000 KM,2002,AUTOMATIQUE,1.8
"

                              18 349 €  ","LEXUS
GS 350V6 3.5",LEXUS,GS 350V6 3.5, 30/07/2022, RUSSIE,ESSENCE,105 000 KM,2013,AUTOMATIQUE,GS 350
,"GAZ
3102",GAZ,3102, 01/08/2022, RUSSIE,ESSENCE,35 686 KM,2002,MANUELLE,
"

                              14 095 €  ","AUDI
A8
V8 4.2QUATTRO",AUDI,A8, 05/08/2022, RUSSIE,ESSENCE,262 000 KM,2010,AUTOMATIQUE,V8 4.2
,"AUDI
A6
RS64.0QUATTRO",AUDI,A6, 06/08/2022, RUSSIE,ESSENCE,62 000 KM,2016,AUTOMATIQUE,RS6
"

                              1 109 €  ","AUDI
100
1.9",AUDI,100, 18/08/2022, RUSSIE,ESSENCE,173 000 KM,1984,MANUELLE,1.9
